coords,bus_stops_closest_km,bus_stops_less500m,bus_stops_0.5-1km,bus_stops_1-3km,bus_stops_3-5km,bus_stops_5-10km,bus_stops_10-15km
"('55.848357', '37.351195')",0.27074758054159925,8,34,132,354,1375,2391
"('55.809024', '37.475441')",0.038394065957627156,17,57,344,617,3195,4156
"('55.723521', '37.58694')",0.054281543650824604,15,24,449,926,4057,5464
"('55.770294', '37.636974')",0.1726883321427519,14,26,603,973,4015,5676
"('55.7628702', '37.6436995')",0.058946949435544856,10,42,581,1022,4004,5679
"('55.76317', '37.64408')",0.0739412125133142,11,44,577,1020,4000,5675
"('55.769367', '37.635593')",0.21049834770595877,14,30,596,986,4021,5699
"('55.76709', '37.639545')",0.13360660662012624,10,37,589,1013,4010,5674
"('55.763234', '37.64295')",0.00978418741147509,8,47,575,1024,3991,5707
"('55.767539', '37.627885')",0.23617788443765128,10,45,575,1017,4032,5767
"('55.759881', '37.642159')",0.18545758612811983,9,49,583,1027,4039,5704
"('55.76697', '37.624886')",0.1564312143762293,12,46,563,1024,4053,5771
"('55.7675455', '37.6251245')",0.1615228582781056,12,43,577,1011,4059,5759
"('55.729975', '37.76106')",0.09438133481343916,12,35,352,866,3546,4474
"('55.728221', '37.763971')",0.1393472553117457,13,17,367,823,3552,4385
"('55.7291994', '37.7627259')",0.01595528550400278,13,27,355,843,3560,4422
"('55.724789', '37.744738')",0.16986235336903466,5,36,353,881,3640,4720
"('55.726041', '37.745654')",0.14548859851949988,18,27,354,884,3631,4712
"('55.724723', '37.743067')",0.1537167418069362,6,36,340,889,3643,4736
"('55.816508', '37.466976')",0.10193528286988716,15,39,330,657,2984,3972
"('55.8135405', '37.4701125')",0.08946584987402177,12,48,345,658,3051,4030
"('55.812388', '37.483971')",0.12603913586164298,13,44,363,643,3319,4123
"('55.812934', '37.469296')",0.14939540488730846,12,51,339,659,3043,4046
"('55.819949', '37.465892')",0.07129997232576102,11,11,347,654,2932,3935
"('55.805083', '37.421425')",0.1105994749343562,10,16,294,473,2434,3582
"('55.801617', '37.406155')",0.08197579130351983,20,49,168,532,2165,3413
"('55.795388', '37.405157')",0.1146090689831522,12,31,175,492,2169,3478
"('55.80963', '37.414276')",0.043746224810864195,14,22,280,500,2267,3484
"('55.78426', '37.475513')",0.0779697814011969,13,31,365,562,3319,4499
"('55.799446', '37.39214')",0.051704936746039556,20,46,173,443,2026,3198
"('55.803231', '37.347476')",0.18493379413040212,3,2,171,271,1480,2584
"('55.81784', '37.397907')",0.17889925396632697,12,29,274,481,1962,3213
"('55.815662', '37.400227')",0.29176236999886085,17,29,270,486,2016,3271
"('55.797386', '37.3934201')",0.07147912940932534,22,40,170,434,2040,3225
"('55.802185', '37.40648')",0.06978268333584833,20,48,171,531,2176,3405
"('55.804273', '37.396793')",0.12263921697675895,20,54,181,479,2072,3204
"('55.80244', '37.41213')",0.20121761757974416,17,25,219,506,2285,3477
"('55.806813', '37.423482')",0.3405875358727518,7,14,302,506,2443,3589
"('55.809762', '37.392302')",0.059626662926139204,20,36,218,473,1981,3101
"('55.747417', '37.557384')",0.13373017181907507,12,54,436,842,4092,5173
"('55.748645', '37.558571')",0.07425050148760781,14,60,418,880,4086,5212
"('55.74366', '37.539894')",0.13781949526692683,17,32,412,770,3999,5087
"('55.746922', '37.556864')",0.09608225883129441,12,49,441,825,4101,5166
"('55.772518', '37.6207122')",0.08189447581512578,13,62,516,1051,3973,5812
"('55.772902', '37.628586')",0.07494682341570506,18,43,555,1011,4016,5691
"('55.769251', '37.628451')",0.23579828688504634,17,33,587,1008,4028,5730
"('55.780097', '37.630814')",0.09729532559863,19,53,493,1085,3890,5636
"('55.77665', '37.624454')",0.23633225645960096,18,51,525,1010,3962,5701
"('55.771418', '37.629358')",0.2018475090505526,16,40,571,1011,4021,5715
"('55.774527', '37.622962')",0.11413768941054296,13,62,513,1056,3942,5784
"('55.82848', '37.448044')",0.11467441750008418,14,43,275,748,2421,3795
"('55.83956', '37.46449')",0.10963102726821022,4,20,318,695,2600,3671
"('55.8565101', '37.4045102')",0.23796239561598678,14,34,278,501,1798,2911
"('55.854267', '37.42968')",0.4031610360524891,13,55,290,539,2091,3246
"('55.864015', '37.431873')",0.13116070968997884,35,26,333,511,2108,2996
"('55.862257', '37.44753')",0.05876980433323418,5,46,323,539,2315,3092
"('55.843389', '37.431962')",0.0713348052876682,9,35,318,589,2249,3350
"('55.8530817', '37.4424994')",0.20966416001799607,21,24,350,488,2387,3163
"('55.865696', '37.444107')",0.08904133319255206,13,34,339,513,2271,3000
"('55.85105', '37.434514')",0.16295002346752055,15,41,321,533,2222,3276
"('55.863379', '37.430714')",0.1864789665239965,36,29,322,528,2068,3023
"('55.850555', '37.415263')",0.0353200002766649,9,51,270,567,1901,3243
"('55.846962', '37.426267')",0.18349492490159972,11,35,322,550,2130,3301
"('55.860382', '37.417896')",0.14500927367887392,17,30,272,552,1869,3013
"('55.84447', '37.44994')",0.1397950525332357,9,40,368,611,2470,3380
"('55.627615', '37.518389')",0.03528298488198007,8,15,265,451,2653,3659
"('55.630589', '37.484128')",0.09990643067525842,16,16,238,452,2402,3438
"('55.622395', '37.48818')",0.31064609724050013,14,18,232,386,2449,3278
"('55.61875', '37.491143')",0.24987611686005046,7,43,193,403,2418,3284
"('55.627361', '37.478628')",0.34144998989212594,11,29,209,442,2367,3300
"('55.619594', '37.499031')",0.2177734007904262,19,26,232,372,2486,3310
"('55.619147', '37.497872')",0.28108988331548523,11,34,220,380,2462,3320
"('55.630162', '37.521551')",0.1797022724926699,11,18,248,523,2601,3885
"('55.623265', '37.489976')",0.16435019240675866,12,19,233,399,2447,3311
"('55.624466', '37.489524')",0.10284900625176555,11,19,246,394,2465,3309
"('55.619802', '37.497764')",0.21592176224472256,10,39,219,389,2461,3335
"('55.573973', '37.488943')",0.11761245532582082,8,14,123,387,1494,2798
"('55.613636', '37.493004')",0.017967576559740198,7,24,214,354,2397,3150
"('55.633617', '37.483095')",0.1386114058300551,13,17,237,500,2371,3473
"('55.740649', '37.64145')",0.12638965106295483,11,62,525,1044,4122,5659
"('55.758818', '37.592366')",0.1319331333033203,12,38,507,1016,4131,5639
"('55.762839', '37.606586')",0.13445494947839756,15,36,526,1030,4179,5749
"('55.713025', '37.751367')",0.2032424709550931,13,30,381,748,3687,4501
"('55.714054', '37.730104')",0.08031462531091528,14,49,365,835,3781,4861
"('55.711823', '37.733949')",0.21025746617140764,20,46,356,809,3757,4794
"('55.721786', '37.736179')",0.19877019796216358,10,25,375,842,3738,4792
"('55.715576', '37.730697')",0.2412425205547874,14,50,365,847,3759,4875
"('55.714125', '37.733132')",0.03192252165259161,10,53,357,853,3742,4841
"('55.81551', '37.584118')",0.049812804780858026,16,61,374,939,3917,4618
"('55.847861', '37.650055')",0.10822342035405347,7,44,418,674,3032,4142
"('55.799502', '37.611437')",0.1834114531404245,12,28,523,873,4096,5008
"('55.760915', '37.554861')",0.2675223085904118,11,50,423,891,4079,5196
"('55.757996', '37.542652')",0.1708326601068043,12,40,428,831,3994,5088
"('55.761282', '37.513422')",0.14503387171350807,8,36,401,707,3699,5054
"('55.760996', '37.513628')",0.14622407433935003,8,36,398,709,3701,5054
"('55.759886', '37.519027')",0.11197542626806828,14,26,409,727,3788,5062
"('55.757996', '37.542652')",0.1708326601068043,12,40,428,831,3994,5088
"('55.755302', '37.52503')",0.02604004970050274,16,36,395,752,3859,5007
"('55.7578', '37.540138')",0.08178249133278669,10,45,422,822,3983,5080
"('55.758156', '37.519592')",0.18621171094201602,18,26,406,719,3797,5031
"('55.7628769', '37.5427501')",0.1286630247338019,11,29,447,863,3995,5106
"('55.76156', '37.54907')",0.3060955148817776,8,49,438,874,4028,5138
"('55.763416', '37.547028')",0.159130207611973,11,38,448,867,4029,5133
"('55.760082', '37.53666')",0.1915908541785249,10,42,419,830,3943,5090
"('55.757409', '37.542186')",0.12892125743200447,12,40,427,825,3981,5091
"('55.760494', '37.518551')",0.09060222556616243,12,29,407,731,3763,5091
"('55.764059', '37.512914')",0.07604501150470247,6,33,391,737,3624,5154
"('55.761282', '37.513422')",0.14503387171350807,8,36,401,707,3699,5054
"('55.760996', '37.513628')",0.14622407433935003,8,36,398,709,3701,5054
"('55.758553', '37.52044')",0.1497179181852034,19,22,406,729,3801,5042
"('55.761282', '37.513422')",0.14503387171350807,8,36,401,707,3699,5054
"('55.761282', '37.513422')",0.14503387171350807,8,36,401,707,3699,5054
"('55.821371', '37.587946')",0.036536614185774904,19,41,355,949,3794,4574
"('55.81563', '37.585133')",0.07110401699749083,14,60,375,947,3909,4624
"('55.821441', '37.582763')",0.1412400980924156,22,33,358,956,3748,4608
"('55.81821', '37.587964')",0.25175248885765983,21,40,377,930,3874,4604
"('55.824106', '37.570357')",0.15026909560770002,8,43,351,912,3716,4522
"('55.824299', '37.566252')",0.07552141155760744,10,30,370,859,3750,4444
"('55.821371', '37.587946')",0.036536614185774904,19,41,355,949,3794,4574
"('55.82562', '37.577267')",0.19571551363757067,16,36,354,917,3726,4468
"('55.56925', '37.286426')",0.18020895137163956,4,8,26,107,736,1194
"('55.73943', '37.638313')",0.18345661845415728,7,53,539,1019,4128,5652
"('55.736959', '37.61556')",0.06113013798361133,12,39,507,1004,4178,5599
"('55.746204', '37.636436')",0.09076368642474032,21,55,537,1070,4103,5671
"('55.738292', '37.625972')",0.15028671809472882,14,37,527,1033,4144,5622
"('55.86425', '37.429108')",0.07749723532005973,34,26,305,536,2040,2999
"('55.854047', '37.420491')",0.07677966714967495,12,49,265,574,1922,3216
"('55.83845', '37.388511')",0.07700483909051159,12,16,286,442,1804,2906
"('55.861489', '37.417544')",0.19333133012869713,14,29,268,550,1863,2979
"('55.845688', '37.42669')",0.15782333249568242,14,31,324,566,2135,3340
"('55.825683', '37.413192')",0.3342590120164416,5,11,310,535,2107,3462
"('55.85337', '37.409648')",0.11973228655498122,25,34,272,520,1849,3083
"('55.840791', '37.379043')",0.09722391088644619,14,15,274,446,1687,2797
"('55.84869', '37.436203')",0.21460090405350424,18,31,333,545,2279,3302
"('55.85434', '37.432034')",0.32185733951651546,13,62,287,547,2119,3264
"('55.631686', '37.472414')",0.07700023813140534,12,10,207,492,2302,3360
"('55.65069', '37.468346')",0.09383030391924893,5,28,228,593,2403,3617
"('55.65055', '37.489014')",0.23321933432513217,9,29,296,536,2606,3843
"('55.655447', '37.487829')",0.2893795683792002,9,43,307,557,2628,3909
"('55.632586', '37.476752')",0.22557360827730366,17,10,223,493,2341,3410
"('55.655447', '37.487829')",0.2893795683792002,9,43,307,557,2628,3909
"('55.644145', '37.473492')",0.07969815142704251,19,14,207,605,2340,3599
"('55.656428', '37.481576')",0.08440465219957452,7,61,273,611,2549,3903
"('55.651978', '37.486005')",0.18844496648943157,7,30,286,550,2597,3831
"('55.647163', '37.468192')",0.0636406839712388,17,8,218,587,2366,3583
"('55.646406', '37.482592')",0.1316109877520588,10,33,243,585,2449,3742
"('55.644145', '37.473492')",0.07969815142704251,19,14,207,605,2340,3599
"('55.632753', '37.474004')",0.22008646731859705,14,10,213,507,2311,3404
"('55.64541', '37.481873')",0.23665117376796854,9,30,240,584,2435,3718
"('55.645131', '37.487892')",0.10839753742187247,11,28,264,576,2464,3786
"('55.654041', '37.489931')",0.10237415627940384,9,34,309,542,2653,3877
"('55.644145', '37.473492')",0.07969815142704251,19,14,207,605,2340,3599
"('55.713654', '37.607655')",0.06618508353544271,16,48,412,947,4105,5441
"('55.71019', '37.6180324')",0.14388958174235267,28,45,423,957,4127,5471
"('55.844395', '37.449093')",0.09580174231065602,8,45,364,608,2459,3384
"('55.821917', '37.438614')",0.06554672777215383,18,40,261,742,2408,3725
"('55.814746', '37.424309')",0.31268744425166745,5,14,322,559,2406,3516
"('55.821917', '37.438614')",0.06554672777215383,18,40,261,742,2408,3725
"('55.7212377', '37.6943255')",0.14761492378851532,17,20,450,904,3999,5240
"('55.71954', '37.690896')",0.1600856195562276,16,39,406,950,3965,5328
"('55.7212377', '37.6943255')",0.14761492378851532,17,20,450,904,3999,5240
"('55.769271', '37.56582')",0.07930307864137436,12,34,513,843,4152,5323
"('55.775454', '37.5577')",0.18584194631774656,5,32,493,872,4032,5342
"('55.775454', '37.5577')",0.18584194631774656,5,32,493,872,4032,5342
"('55.770622', '37.560394')",0.14315410044766846,12,28,509,862,4091,5336
"('55.764236', '37.54028')",0.0472287379721093,14,21,453,847,3979,5107
"('55.770306', '37.56461')",0.1014747959985909,9,33,524,835,4137,5336
"('55.774796', '37.556316')",0.22266852998962375,4,32,495,869,4033,5334
"('55.766329', '37.557861')",0.12529367646763367,21,25,492,873,4054,5338
"('55.76246', '37.567554')",0.17410056703760243,16,53,454,961,4067,5395
"('55.770573', '37.562954')",0.20836361194356606,10,32,518,836,4132,5318
"('55.820855', '37.632772')",0.08278357323198929,30,72,370,911,3679,4408
"('55.797701', '37.610754')",0.11397999498422638,12,34,526,877,4099,5080
"('55.601284', '37.586166')",0.1765528591413921,12,31,253,434,2442,3199
"('55.608709', '37.590012')",0.06760179162867982,14,47,224,570,2523,3344
"('55.544494', '37.545527')",0.04297554146166424,20,32,184,331,1294,2322
"('55.524355', '37.513961')",0.041490919082799074,16,17,157,330,911,1895
"('55.532966', '37.527265')",0.23921465081089888,10,30,184,315,1114,2046
"('55.535061', '37.5418826')",0.18128956757770534,6,17,212,289,1214,2098
"('55.547056', '37.545968')",0.044861861258357255,19,32,185,325,1343,2374
"('55.549261', '37.545402')",0.09183642225938142,15,31,181,323,1375,2416
"('55.703261', '37.947838')",0.21174640436871955,7,23,183,282,1282,2131
"('55.709491', '37.9426752')",0.16184208211977377,8,34,185,269,1396,2176
"('55.7254379', '37.8614816')",0.19890641094056988,5,22,338,603,2119,3362
"('55.708455', '37.925838')",0.20442102688178285,16,37,245,328,1503,2426
"('55.830407', '37.580104')",0.15367453077005114,10,37,345,887,3667,4373
"('55.81563', '37.585133')",0.07110401699749083,14,60,375,947,3909,4624
"('55.817405', '37.573034')",0.15514687508666045,11,56,352,945,3791,4647
"('55.847295', '37.638521')",0.06602906414332153,26,18,463,685,3103,4137
"('55.851677', '37.633286')",0.2843114386490034,7,44,407,758,2952,4143
"('55.87275', '37.712568')",0.055058237415129004,17,36,193,369,2113,3301
"('55.566445', '37.568129')",0.14862579265451178,18,27,169,347,1753,2676
"('55.565493', '37.56777')",0.14416101946980184,16,27,172,329,1736,2678
"('55.565646', '37.564123')",0.10300272262868382,14,23,179,340,1710,2702
"('55.546287', '37.555598')",0.025926566495732366,12,38,174,329,1340,2342
"('55.552408', '37.552157')",0.05802323348201278,12,25,191,301,1437,2445
"('55.561232', '37.586176')",0.14610160669444724,4,21,164,310,1680,2541
"('55.554975', '37.507205')",0.2317598208066906,10,10,192,283,1411,2507
"('55.554975', '37.507205')",0.2317598208066906,10,10,192,283,1411,2507
"('55.537792', '37.57569')",0.07793308540827297,8,17,146,353,1203,2206
"('55.684654', '37.531586')",0.24045823117906118,10,59,439,730,3320,4851
"('55.699314', '37.511239')",0.13564054102646653,13,45,354,756,3186,4765
"('55.684777', '37.524597')",0.08429364832709649,12,41,434,753,3213,4816
"('55.685806', '37.8624')",0.1465196210223617,15,42,287,494,2079,3052
"('55.687756', '37.8636')",0.09672164030697863,15,42,300,504,2060,3090
"('55.72161', '37.8988')",0.07093631056835042,9,15,232,513,1628,2993
"('55.86932', '37.500324')",0.07320623799496916,13,32,345,559,2685,3173
"('55.717424', '37.496474')",0.3698725727348133,4,16,342,669,3264,4696
"('55.73407', '37.490883')",0.2510938965371482,9,26,297,716,3304,4860
"('55.618878', '37.4144')",0.1929215542532913,6,23,116,385,1512,2920
"('55.7553539', '37.5108763')",0.07806828883922884,13,35,386,673,3687,4948
"('55.747288', '37.514957')",0.023876839491336736,9,31,332,737,3690,5014
"('55.763697', '37.509925')",0.20810219620403883,5,30,382,724,3583,5131
"('55.766567', '37.48703')",0.23978830411956997,13,39,335,672,3288,4964
"('55.967992', '37.150575')",0.08861298776321067,15,12,168,104,361,349
"('55.825189', '37.564284')",0.04387540429046326,9,27,388,821,3743,4389
"('55.731627', '37.581227')",0.3847405206883152,7,54,438,876,4134,5338
"('55.87241', '37.484568')",0.08040547420373853,8,58,286,571,2467,3075
"('55.865013', '37.474264')",0.023845261210425742,23,29,362,549,2580,3070
"('55.871147', '37.48042')",0.19680831876749613,11,59,303,553,2472,3058
"('55.8675884', '37.4829033')",0.07719883096082056,20,32,331,556,2582,3134
"('55.872577', '37.488422')",0.3061092179377022,9,43,312,567,2513,3064
"('55.860827', '37.469728')",0.16783445522414847,10,57,340,610,2566,3134
"('55.778282', '37.517597')",0.05893595598263678,30,37,396,857,3604,5195
"('55.780279', '37.516602')",0.05458489731304499,29,37,404,839,3630,5116
"('55.767638', '37.50186')",0.33215769585804805,2,34,363,696,3468,5074
"('55.776537', '37.540928')",0.2088482092922543,13,28,435,873,3904,5223
"('55.776537', '37.540928')",0.2088482092922543,13,28,435,873,3904,5223
"('55.775682', '37.538539')",0.15408530430321404,14,23,433,882,3858,5240
"('55.77996', '37.526744')",0.23960746510644523,21,45,401,901,3723,5173
"('55.780168', '37.531307')",0.21692184001016515,16,49,400,932,3747,5191
"('55.776537', '37.540928')",0.2088482092922543,13,28,435,873,3904,5223
"('55.774598', '37.54595')",0.1414896987701876,9,26,456,897,3943,5277
"('55.781927', '37.46363')",0.11362272907659113,14,50,258,667,3033,4513
"('55.76317', '37.508592')",0.31027777917170735,6,30,388,697,3590,5093
"('55.762136', '37.511105')",0.16152106012588485,3,36,388,711,3634,5094
"('55.767638', '37.50186')",0.33215769585804805,2,34,363,696,3468,5074
"('55.763697', '37.509925')",0.20810219620403883,5,30,382,724,3583,5131
"('55.781927', '37.46363')",0.11362272907659113,14,50,258,667,3033,4513
"('55.762136', '37.511105')",0.16152106012588485,3,36,388,711,3634,5094
"('55.763265', '37.514994')",0.21808428482399936,7,36,402,733,3677,5139
"('55.763697', '37.509925')",0.20810219620403883,5,30,382,724,3583,5131
"('55.761421', '37.512865')",0.1244331552749715,8,36,395,710,3676,5066
"('55.637434', '37.680194')",0.09227116951865345,15,39,295,716,2640,4203
"('55.77633', '37.630726')",0.09016860088709364,22,41,531,1002,3981,5639
"('55.770532', '37.629736')",0.17582076328513893,15,38,578,1008,4026,5714
"('55.779975', '37.615722')",0.08939148802494,27,57,468,1054,3915,5722
"('55.777454', '37.616173')",0.1121384378138111,22,56,497,1040,3926,5776
"('55.788442', '37.557578')",0.12541139825457417,16,51,456,905,3921,5191
"('55.797413', '37.52334')",0.4783816250304321,2,43,414,808,3736,4782
"('55.793864', '37.541001')",0.24443735749770498,9,35,420,874,3857,4910
"('55.778026', '37.540147')",0.23431280292954407,13,31,430,884,3901,5198
"('55.801632', '37.767635')",0.14853352606229758,11,29,363,577,2816,4233
"('55.805252', '37.773126')",0.11748696609545879,13,43,358,501,2688,4180
"('55.807419', '37.7761972')",0.15102479206139544,19,35,357,443,2658,4080
"('55.802847', '37.728658')",0.10435209425283339,9,39,419,602,3359,4345
"('55.623778', '37.590865')",0.10245818895249266,17,22,267,665,2670,3892
"('55.644596', '37.602077')",0.0970154367403332,24,58,328,729,3102,4216
"('55.63721', '37.606773')",0.10814264585857963,23,41,338,646,3039,4052
"('55.7658', '37.60274')",0.023964751843864346,16,43,494,1039,4153,5799
"('55.76526', '37.607567')",0.06549487723336454,18,47,519,1036,4131,5840
"('55.769733', '37.604034')",0.1798129974438976,30,35,539,990,4147,5770
"('55.776112', '37.692765')",0.11905927530176265,15,47,554,900,3852,5000
"('55.745544', '37.75461')",0.29925297557317604,7,35,391,786,3629,4450
"('55.721523', '37.62298')",0.08581200516919649,15,62,451,960,4146,5656
"('55.764493', '37.511489')",0.07974782167078456,7,30,378,740,3589,5157
"('55.761421', '37.512865')",0.1244331552749715,8,36,395,710,3676,5066
"('55.764493', '37.511489')",0.07974782167078456,7,30,378,740,3589,5157
"('55.767638', '37.50186')",0.33215769585804805,2,34,363,696,3468,5074
"('55.765711', '37.480436')",0.2442139781916653,15,35,312,709,3144,4907
"('55.764493', '37.511489')",0.07974782167078456,7,30,378,740,3589,5157
"('55.762666', '37.51291')",0.2302243757290758,5,35,403,714,3652,5108
"('55.763265', '37.514994')",0.21808428482399936,7,36,402,733,3677,5139
"('55.762666', '37.51291')",0.2302243757290758,5,35,403,714,3652,5108
"('55.761282', '37.513422')",0.14503387171350807,8,36,401,707,3699,5054
"('55.618471', '37.723124')",0.2551645226973332,15,49,298,557,1948,3716
"('55.62146', '37.741')",0.0850071063401097,11,52,316,459,2094,3541
"('55.6203272', '37.7387044')",0.18703730550127765,11,49,321,462,2082,3518
"('55.618268', '37.742196')",0.11481545482573467,10,59,292,450,2038,3426
"('55.610321', '37.752895')",0.034111358523776523,13,45,263,305,1840,3103
"('55.615476', '37.743274')",0.09391037476401705,22,44,296,414,1958,3346
"('55.75946', '37.777428')",0.23425078464148058,19,36,315,808,3027,4394
"('55.76799', '37.837437')",0.06076742313964384,19,31,264,508,2458,3361
"('55.829502', '37.82185')",0.13872354167006506,14,24,145,263,1695,3406
"('55.802103', '37.814483')",0.11719052144514702,13,39,329,298,2166,3909
"('55.85973', '37.6653')",0.03474333428116086,16,36,344,592,2653,3991
"('55.518265', '37.572701')",0.22721158304247555,3,20,175,244,1050,1771
"('55.828674', '37.361018')",0.23316675562609654,10,28,220,390,1543,2626
"('55.774406', '37.708931')",0.11386069235565777,12,39,597,793,3933,4651
"('55.787513', '37.706766')",0.03567210637561102,10,70,490,794,3719,4611
"('55.780834', '37.692688')",0.15241245765253114,17,41,535,876,3835,4902
"('55.774603', '37.696489')",0.055498548246114596,9,47,597,816,3944,4866
"('55.7814011', '37.7250089')",0.12921880190644364,28,46,429,873,3509,4696
"('55.788819', '37.698358')",0.042108504811591646,19,62,476,837,3750,4736
"('55.774406', '37.708931')",0.11386069235565777,12,39,597,793,3933,4651
"('55.774887', '37.707783')",0.2035366201398019,9,42,596,793,3935,4668
"('55.772861', '37.710287')",0.02197302763826469,9,40,582,798,3935,4659
"('55.773388', '37.708965')",0.028358495785203653,8,41,596,795,3948,4661
"('55.780294', '37.705535')",0.18696069013766187,17,50,554,772,3860,4678
"('55.780319', '37.699211')",0.16864903395647032,27,23,574,781,3892,4733
"('55.776112', '37.692765')",0.11905927530176265,15,47,554,900,3852,5000
"('55.78202', '37.726655')",0.19034891147927313,16,59,404,887,3462,4687
"('55.77309', '37.706074')",0.20060628938157157,11,36,608,789,3978,4675
"('55.774603', '37.696489')",0.055498548246114596,9,47,597,816,3944,4866
"('55.708225', '37.819244')",0.044551150268082616,15,54,304,666,2667,3856
"('55.703641', '37.790934')",0.14461215529212987,10,35,333,679,3017,4160
"('55.695625', '37.821663')",0.11441515395300193,13,19,306,632,2494,3897
"('55.70041', '37.809479')",0.06675476101180347,11,37,306,654,2676,4037
"('55.712409', '37.803657')",0.20607456170975116,11,61,291,755,2860,4015
"('55.704002', '37.813073')",0.24453497147547743,9,38,307,637,2708,3939
"('55.67559', '37.465694')",0.2211651619209149,6,30,298,542,2652,3905
"('55.663004', '37.475881')",0.13246375020709172,25,44,292,576,2613,3838
"('55.675103', '37.499516')",0.1671688273872675,23,34,370,685,2941,4338
"('55.643033', '37.475468')",0.23758282482112608,16,19,213,597,2342,3612
"('55.664538', '37.473483')",0.1724482437598702,13,53,282,573,2628,3802
"('55.661328', '37.468308')",0.28031822740439066,14,35,276,542,2551,3727
"('55.663004', '37.475881')",0.13246375020709172,25,44,292,576,2613,3838
"('55.667493', '37.493156')",0.2680106239861689,12,45,354,652,2821,4106
"('55.67558', '37.475612')",0.16847140053977622,6,30,322,591,2760,4039
"('55.665492', '37.498743')",0.15702986605044206,4,40,367,650,2838,4153
"('55.667126', '37.495132')",0.14201878962289494,11,40,363,650,2844,4122
"('55.608139', '37.58597')",0.3172130045556114,11,35,248,538,2507,3349
"('55.61545', '37.587723')",0.03146182565322925,18,25,260,613,2567,3617
"('55.884292', '37.540147')",0.20514617655000794,9,28,294,614,2484,3212
"('55.881177', '37.5349')",0.12401200290371953,9,47,287,670,2531,3228
"('53.9448795', '32.8480138')",2121.296589587226,0,0,0,0,0,0
"('55.474465', '37.527561')",1783.7890896275444,0,0,0,0,0,0
"('55.495937', '37.519247')",1785.7433940907408,0,0,0,0,0,0
"('55.496659', '37.515407')",1786.103263775382,0,0,0,0,0,0
"('55.497256', '37.519036')",1785.8386947908452,0,0,0,0,0,0
"('55.498654', '36.9174438')",1836.1417320293115,0,0,0,0,0,0
"('55.504986', '37.534794')",0.11701797293715456,10,14,170,266,802,1584
"('55.508542', '37.581629')",0.29346432381802967,9,28,135,242,872,1673
"('55.520161', '37.212217')",0.4739192370449961,1,3,34,41,445,599
"('55.532666', '37.521408')",0.24832310807483632,17,26,191,308,1098,2032
"('55.53827', '37.51017')",0.11726096336508951,12,32,172,291,1164,2154
"('55.539732', '37.581271')",0.19938350717815273,5,22,131,358,1196,2247
"('55.540928', '37.57667')",0.20898741410989866,14,15,152,344,1236,2257
"('55.541504', '37.57544')",0.13439226866213916,12,18,154,343,1244,2268
"('55.54193', '37.560745')",0.19127885519330676,8,25,175,337,1277,2254
"('55.543516', '37.511544')",0.10728096665189456,12,27,193,279,1234,2295
"('55.5437', '37.483508')",0.3293470871473132,9,9,190,202,1279,2209
"('55.544255', '37.52324')",0.2084608024924369,10,26,198,279,1298,2280
"('55.54753', '37.323517')",0.3386152656724757,3,4,42,120,692,1380
"('55.547712', '37.487459')",0.07235671317548403,8,24,172,229,1307,2298
"('55.5479124', '37.5569644')",0.12146073802690986,12,32,178,318,1362,2367
"('55.548665', '37.48685')",0.04678760746503559,7,24,164,238,1317,2311
"('55.548894', '37.53835')",0.26716148792707506,15,32,183,318,1375,2411
"('55.549144', '37.525836')",0.01773570654666366,13,20,198,304,1344,2405
"('55.54921', '37.556559')",0.0931991789570244,15,28,184,308,1393,2389
"('55.549725', '37.489455')",0.17575809959906932,15,14,171,234,1332,2342
"('55.551843', '37.503953')",0.1337456435377461,8,25,189,266,1363,2446
"('55.5525622', '37.3350953')",0.3360787338143917,8,11,40,138,814,1452
"('55.5529937', '37.464911')",0.6165158865833255,0,9,178,196,1318,2277
"('55.554236', '37.465838')",0.46999006165216484,2,8,178,202,1326,2302
"('55.555184', '37.554008')",0.26906245401469225,10,19,193,295,1485,2527
"('55.565136', '37.576405')",0.09914424873409726,13,32,153,345,1741,2653
"('55.569016', '37.48614')",0.14941792911267868,12,20,118,358,1410,2705
"('55.569138', '37.489257')",0.16736703147569126,9,20,114,382,1395,2757
"('55.57462', '37.469227')",0.20990258250481603,13,23,128,295,1468,2710
"('55.577566', '37.48269')",0.22279929625201192,5,18,133,361,1544,2800
"('55.5782812', '37.4827046')",0.2617320405742298,6,16,136,362,1560,2799
"('55.585067', '37.602067')",0.2497167568843786,9,14,274,373,2147,2897
"('55.587056', '37.610538')",0.21524105122447423,6,25,271,391,2160,2921
"('55.587285', '37.456981')",0.09553864281666237,5,14,152,294,1640,2785
"('55.588412', '37.164133')",0.1861817277424298,6,9,86,69,367,763
"('55.588533', '37.171806')",0.2411560173264074,4,6,82,70,379,798
"('55.588649', '37.604448')",0.1986327678689298,12,26,273,404,2190,2956
"('55.589096', '37.171143')",0.24237833803762457,4,8,81,69,380,794
"('55.589198', '37.602714')",0.1652054493672384,11,30,269,409,2190,2984
"('55.590343', '37.606334')",0.10114485699214322,14,23,284,410,2210,2988
"('55.59126', '37.444499')",0.3108368874024562,8,18,139,294,1636,2765
"('55.591498', '37.447295')",0.13294227616025026,10,11,148,295,1661,2778
"('55.591599', '37.42916')",0.15389992069802189,5,5,118,291,1495,2743
"('55.593245', '37.425689')",0.23794910523563512,4,8,101,319,1455,2787
