coords,eco_thermal_closest_km,eco_thermal_less500m,eco_thermal_0.5-1km,eco_thermal_1-3km,eco_thermal_3-5km,eco_thermal_5-10km,eco_thermal_10-15km
"('55.799118', '37.506405')",1.833419621439775,0,0,1,2,19,18
"('55.662562', '37.573914')",2.0983581359681396,0,0,3,5,15,23
"('55.663217', '37.569962')",2.3478105221711356,0,0,2,6,13,25
"('55.651277', '37.572055')",1.5265001161498768,0,0,2,5,15,21
"('55.6471515', '37.5895633')",0.34975299683324806,1,0,3,5,13,24
"('55.651222', '37.580788')",1.063782722762492,0,0,2,6,14,23
"('55.657057', '37.587506')",1.391297556540339,0,0,4,5,15,24
"('55.6686809', '37.5747983')",2.1493172336042097,0,0,3,4,17,21
"('55.67154', '37.578827')",2.043344713392494,0,0,3,4,17,21
"('55.669371', '37.57006')",2.4566617212256925,0,0,1,5,15,23
"('55.657627', '37.566467')",2.212777354822631,0,0,2,6,14,23
"('55.665623', '37.571938')",2.246765157212084,0,0,2,6,13,25
"('55.6490919', '37.58385')",0.7649995205019087,0,1,2,6,14,23
"('55.66727', '37.569682')",2.419327710056909,0,0,2,6,14,24
"('55.653748', '37.58093')",1.2593518090348834,0,0,3,5,15,21
"('55.649139', '37.577382')",1.1208870428650577,0,0,3,5,15,21
"('55.666609', '37.584793')",1.4800108684225293,0,0,5,4,17,21
"('55.686005', '37.575828')",1.7017225454569334,0,0,2,4,18,21
"('55.68735', '37.533742')",3.6628636534886776,0,0,0,1,22,16
"('55.673844', '37.529016')",4.683608810380058,0,0,0,1,22,14
"('55.69076', '37.53252')",3.6110433241734547,0,0,0,1,22,16
"('55.676651', '37.529789')",4.458057635795058,0,0,0,1,22,14
"('55.668117', '37.574606')",2.142225687136288,0,0,3,4,16,22
"('55.668343', '37.5881')",1.36083123617369,0,0,5,4,17,21
"('55.67107', '37.57536')",2.214245546403165,0,0,3,4,17,21
"('55.600893', '37.724077')",4.2539421489633575,0,0,0,1,11,15
"('55.617032', '37.74286')",4.210521580676749,0,0,0,2,12,14
"('55.622395', '37.755347')",4.298295864784857,0,0,0,3,8,18
"('55.604637', '37.74746')",5.491457612994062,0,0,0,0,9,17
"('55.602144', '37.720142')",4.070724379204696,0,0,0,1,13,13
"('55.576574', '37.675828')",1.6372318640658878,0,0,2,1,11,12
"('55.609751', '37.739635')",4.745867631575682,0,0,0,1,10,16
"('55.6049465', '37.7220236')",4.3049569990534255,0,0,0,2,12,15
"('55.605831', '37.737956')",5.069557748703164,0,0,0,0,11,15
"('55.598665', '37.71486')",3.6240196503828432,0,0,0,1,13,12
"('55.620342', '37.736366')",3.6655189367482492,0,0,0,2,12,15
"('55.601335', '37.744774')",5.515988398818719,0,0,0,0,9,16
"('55.607997', '37.732018')",4.684077658757563,0,0,0,1,13,13
"('55.596702', '37.723538')",4.0917527734554415,0,0,0,1,10,15
"('55.618384', '37.739034')",3.9407026361193354,0,0,0,2,12,16
"('55.6048731', '37.7292926')",4.719866163514507,0,0,0,2,11,15
"('55.608292', '37.707063')",3.6876195878973164,0,0,0,3,12,14
"('55.788722', '37.741549')",2.5353078859385465,0,0,1,3,13,16
"('55.7848', '37.733986')",2.7341108031970496,0,0,1,3,13,19
"('55.784393', '37.73731')",2.847949575635855,0,0,1,3,13,19
"('55.779449', '37.729988')",3.0108795633544316,0,0,0,3,11,21
"('55.7963772', '37.768664')",2.704930165874034,0,0,1,2,10,13
"('55.775665', '37.732925')",2.5875791292023123,0,0,1,3,11,22
"('55.803626', '37.827886')",3.800031966055694,0,0,0,1,6,14
"('55.786972', '37.737713')",2.594025501718643,0,0,1,3,13,18
"('55.787806', '37.737713')",2.5099559701743597,0,0,1,3,13,17
"('55.792725', '37.74341')",2.2409475613805396,0,0,2,2,14,13
"('55.784319', '37.738953')",2.8953798680382494,0,0,1,3,11,21
"('55.790099', '37.739222')",2.328753611704161,0,0,2,2,14,15
"('55.781514', '37.728469')",3.0070224488063877,0,0,0,3,14,17
"('55.781773', '37.73898')",3.157722722984385,0,0,0,4,9,22
"('55.821274', '37.755769')",1.2155895765720113,0,0,3,0,14,8
"('55.791283', '37.76998')",3.2576957287240136,0,0,0,4,9,15
"('55.789385', '37.737165')",2.3369666326825866,0,0,2,2,14,15
"('55.787735', '37.732691')",2.3983903003622795,0,0,1,3,13,18
"('55.791687', '37.72785')",1.889966960676639,0,0,2,2,14,15
"('55.7801135', '37.7318568')",3.082226817106089,0,0,0,3,11,20
"('55.82129', '37.819073')",2.758056204218838,0,0,1,0,5,16
"('55.819427', '37.80879')",2.114553231132498,0,0,1,0,6,15
"('55.792797', '37.814079')",3.92667932278618,0,0,0,1,7,14
"('55.795631', '37.809794')",3.512459774813403,0,0,0,1,7,15
"('55.80781', '37.789896')",1.6808713856847368,0,0,1,2,7,15
"('55.7982714', '37.7644879')",2.5520278489134838,0,0,3,0,15,8
"('55.805992', '37.784733')",1.714079421582242,0,0,1,2,8,14
"('55.825478', '37.82707')",3.306063212290141,0,0,0,1,3,18
"('55.822857', '37.832378')",3.6005822993422285,0,0,0,1,3,17
"('55.790868', '37.817663')",4.234907398039734,0,0,0,1,7,14
"('55.79307', '37.783392')",3.0869777795911917,0,0,0,3,9,14
"('55.823859', '37.810755')",2.2677611932218813,0,0,1,0,5,16
"('55.792377', '37.816998')",4.078812665565503,0,0,0,1,7,14
"('55.801986', '37.801251')",2.625162490540659,0,0,1,1,7,16
"('55.794421', '37.772262')",2.8979270683374625,0,0,1,2,10,14
"('55.793065', '37.807027')",3.6428367705901947,0,0,0,1,7,15
"('55.79173', '37.773197')",3.1942986187752087,0,0,0,3,9,15
"('55.80275', '37.8215')",3.5106316726166344,0,0,0,1,6,14
"('55.8018915', '37.782743')",2.1156879517709335,0,0,1,2,8,14
"('55.807617', '37.78095')",1.4697328855429914,0,0,1,2,11,11
"('55.816326', '37.806343')",2.010311247137695,0,0,1,1,6,15
"('55.806372', '37.826392')",3.5748873282404636,0,0,0,1,5,16
"('55.809373', '37.807027')",2.3480675290426585,0,0,1,0,7,14
"('55.806959', '37.824468')",3.4378176881480886,0,0,0,1,5,16
"('55.799394', '37.776151')",2.3397019196040754,0,0,1,2,9,13
"('55.808216', '37.816588')",2.9334548253435715,0,0,1,0,6,15
"('55.805068', '37.775276')",1.7070763211212159,0,0,1,2,12,10
"('55.792635', '37.807898')",3.7129051010238534,0,0,0,1,7,15
"('55.811958', '37.796427')",1.6342917517718771,0,0,1,2,6,15
"('55.820177', '37.873197')",6.148964327692967,0,0,0,0,4,11
"('55.809474', '37.787911')",1.4576864340785234,0,0,1,2,9,13
"('55.804081', '37.7734')",1.8200548852187244,0,0,1,2,12,10
"('55.79225', '37.812588')",3.9177366965648797,0,0,0,1,7,14
"('55.793167', '37.776764')",3.0338709555362304,0,0,0,3,9,14
"('55.819909', '37.828003')",3.3165269635169756,0,0,0,1,4,16
"('55.79137', '37.802518')",3.6609584152826415,0,0,0,1,9,13
"('55.801197', '37.794298')",2.453564300829462,0,0,1,2,7,15
"('55.791668', '37.787794')",3.296513220576559,0,0,0,3,7,15
"('55.801329', '37.803766')",2.7818608456004186,0,0,1,0,8,15
"('55.792508', '37.787776')",3.2055539251816327,0,0,0,3,7,15
"('55.790615', '37.788971')",3.428380350595032,0,0,0,3,8,14
"('55.794872', '37.79013')",2.994412010208793,0,0,1,2,8,15
"('55.792847', '37.801934')",3.4988491600874374,0,0,0,1,8,14
"('55.812794', '37.792988')",1.4052012455438299,0,0,1,2,7,15
"('55.792267', '37.797676')",3.4373167447498463,0,0,0,1,10,12
"('55.824283', '37.807997')",2.1067763631378544,0,0,1,0,7,14
"('55.8182', '37.811617')",2.302084375129064,0,0,1,0,5,16
"('55.7917793', '37.8064779')",3.7450668964310467,0,0,0,1,7,15
"('55.8103', '37.820072')",3.0352833059119235,0,0,0,1,4,17
"('55.805412', '37.814377')",2.974598761684676,0,0,1,0,7,15
"('55.804435', '37.812767')",2.955730154022538,0,0,1,0,7,15
"('55.809616', '37.79281')",1.635319303308714,0,0,1,2,7,15
"('55.82134', '37.822685')",2.984513325407828,0,0,1,0,5,16
"('55.8025764', '37.8154515')",3.215330973014838,0,0,0,1,6,17
"('55.797306', '37.803234')",3.1181811943090763,0,0,0,1,7,15
"('55.789536', '37.800972')",3.8000616787634205,0,0,0,1,10,12
"('55.813885', '37.807925')",2.181811232297288,0,0,1,0,6,15
"('55.792058', '37.80523')",3.677894729804754,0,0,0,1,8,14
"('55.802427', '37.800326')",2.5506317875236757,0,0,1,1,7,15
"('55.81297', '37.784973')",1.0331465690727024,0,0,1,2,11,11
"('55.792311', '37.794406')",3.3535052164452415,0,0,0,3,7,15
"('55.799526', '37.81851')",3.578998779401185,0,0,0,1,6,15
"('55.791658', '37.786438')",3.2781082411809557,0,0,0,3,7,15
"('55.789062', '37.79854')",3.786081686765227,0,0,0,1,10,12
"('55.82575', '37.823125')",3.0684584563127606,0,0,0,1,4,17
"('55.788882', '37.797839')",3.7877942452550797,0,0,0,1,10,12
"('55.804541', '37.817528')",3.1927066999056244,0,0,0,1,6,16
"('55.802372', '37.83059')",4.016521819960393,0,0,0,1,6,14
"('55.80347', '37.806507')",2.725862566436744,0,0,1,0,8,15
"('55.789978', '37.79903')",3.704639476735802,0,0,0,1,10,12
"('55.797822', '37.793049')",2.7542159471585106,0,0,1,2,7,16
"('55.824122', '37.82352')",3.0630697903220825,0,0,0,1,4,17
"('55.809616', '37.812767')",2.6490844843231134,0,0,1,0,6,15
"('55.792346', '37.774733')",3.123569561897928,0,0,0,3,9,15
"('55.802249', '37.794028')",2.3435758467487666,0,0,1,2,7,15
"('55.797707', '37.783894')",2.586066197179013,0,0,1,2,9,13
"('55.808877', '37.779161')",1.3079693071046932,0,0,1,2,11,11
"('55.809011', '37.794655')",1.763744153916934,0,0,1,2,7,15
"('55.812762', '37.796086')",1.5664955368736533,0,0,1,2,6,15
"('55.79644', '37.810883')",3.4857323547557195,0,0,0,1,6,16
"('55.793844', '37.821499')",4.1480683888860295,0,0,0,1,7,14
"('55.806782', '37.823538')",3.394186088431009,0,0,0,1,6,15
"('55.82742', '37.818733')",2.8442478882964233,0,0,1,0,5,16
"('55.7361667', '37.6862061')",1.6457940430833875,0,0,2,2,17,23
"('55.7289952', '37.7115655')",0.9428189678885475,0,1,2,2,17,19
"('55.7287119', '37.7131528')",1.0034514390316864,0,0,3,1,19,17
"('55.729318', '37.716887')",1.0301586550468271,0,0,3,1,18,18
"('55.728023', '37.712848')",0.9456291475915289,0,1,2,2,19,17
"('55.736995', '37.690489')",1.6066135179651624,0,0,2,2,17,23
"('55.7390377', '37.6910292')",1.808828252226987,0,0,3,1,17,23
"('55.711002', '37.74484')",2.7351286241207715,0,0,1,2,15,18
"('55.736356', '37.694881')",1.4561734020633406,0,0,3,1,17,23
"('55.737137', '37.709901')",1.34940347040957,0,0,3,0,17,23
"('55.731886', '37.713854')",1.0943273451645614,0,0,3,1,19,20
"('55.73812', '37.70825')",1.4784490248772029,0,0,3,0,16,24
"('55.737243', '37.702984')",1.5304950461899516,0,0,3,1,16,23
"('55.738155', '37.693523')",1.6708185502014614,0,0,3,1,17,23
"('55.727187', '37.667546')",2.077967382219052,0,0,2,2,17,26
"('55.723536', '37.410897')",1.3491712530297544,0,0,2,3,12,15
"('55.669381', '37.506891')",4.384562267914526,0,0,0,2,22,13
"('55.663136', '37.520303')",5.037080412050235,0,0,0,0,22,14
"('55.656763', '37.560655')",2.453485376337028,0,0,1,5,17,19
"('55.659443', '37.512974')",5.295005115637309,0,0,0,0,22,14
"('55.670097', '37.550217')",3.6833443900186262,0,0,0,6,18,21
"('55.662009', '37.514248')",5.267128958685488,0,0,0,0,22,14
"('55.666244', '37.552768')",3.451987836911084,0,0,0,6,17,22
"('55.681', '37.497135')",3.1701952392120725,0,0,0,2,20,15
"('55.599625', '37.669514')",1.3803256573564129,0,0,2,2,15,9
"('55.60571', '37.661826')",1.9327370549804628,0,0,3,2,15,10
"('55.599865', '37.667347')",1.3540287144803618,0,0,2,2,15,9
"('55.595277', '37.668273')",0.9176559456023552,0,1,2,2,14,10
"('55.601157', '37.666719')",1.4794443128260946,0,0,2,2,15,9
"('55.622283', '37.656442')",1.096007058718043,0,0,1,7,10,16
"('55.61531', '37.64825')",1.5667791936842377,0,0,2,6,11,15
"('55.6357', '37.67501')",1.9163080581521932,0,0,4,2,16,12
"('55.639425', '37.65911')",1.4846822245965172,0,0,3,8,10,20
"('55.645822', '37.655472')",0.9464038158745319,0,1,2,8,10,21
"('55.637434', '37.680194')",1.5392549611107373,0,0,4,2,16,12
"('55.620663', '37.66494')",1.6232232628858319,0,0,1,6,11,15
"('55.585158', '37.662326')",0.37925505949813226,1,0,3,0,17,6
"('55.621845', '37.64955')",0.8875363472010313,0,1,2,5,12,15
"('55.630914', '37.65373')",0.641180837758895,0,1,1,11,6,23
"('55.633568', '37.682404')",1.7439518574781505,0,0,3,2,15,13
"('55.618537', '37.646318')",1.1934972123971574,0,0,2,6,11,16
"('55.643576', '37.653011')",0.9175354100712078,0,1,2,9,9,21
"('55.645116', '37.659218')",1.1949687976365384,0,0,4,6,12,19
"('55.628591', '37.648178')",0.26969583587049384,1,0,2,9,8,21
"('55.633333', '37.664177')",1.3510140490112572,0,0,3,7,11,17
"('55.62398', '37.657944')",1.050621161806839,0,0,2,6,11,15
"('55.605846', '37.651398')",1.8889682939362515,0,0,3,3,14,10
"('55.634125', '37.659164')",1.10122168367031,0,0,3,8,9,20
"('55.624855', '37.6698')",1.6935231906832273,0,0,2,4,14,14
"('55.606898', '37.659108')",2.064127457728742,0,0,3,3,14,11
"('55.633516', '37.683473')",1.7076722772552555,0,0,3,2,15,13
"('55.678288', '37.687874')",1.7798004321840326,0,0,2,6,12,20
"('55.627575', '37.615273')",1.8198021686893988,0,0,4,4,13,18
"('55.622207', '37.66185')",1.3650453024590585,0,0,1,7,10,16
"('55.625272', '37.660278')",1.1123980770312634,0,0,2,6,11,17
"('55.59427', '37.657808')",0.6757071005036299,0,1,2,2,16,8
"('55.618476', '37.658589')",1.5038619729202722,0,0,1,7,9,17
"('55.622498', '37.65249')",0.9151692686920988,0,1,1,7,10,17
"('55.637545', '37.657592')",1.2641244591515723,0,0,3,8,10,20
"('55.59026', '37.672783')",0.8129955391550167,0,1,1,3,13,11
"('55.638084', '37.670088')",1.9177792938022715,0,0,4,5,13,15
"('55.852192', '37.345733')",1.472754872825037,0,0,2,3,7,6
"('55.584451', '37.667267')",0.6180019088574722,0,1,1,2,14,9
"('55.77636', '37.642384')",1.0258286178785272,0,0,1,3,19,17
"('55.636536', '37.613277')",1.556141559652897,0,0,5,3,14,23
"('55.637957', '37.591881')",0.7916653825090929,0,1,2,6,11,25
"('55.647144', '37.603756')",0.6818921858673831,0,1,5,4,13,23
"('55.630319', '37.593147')",0.8634957871884308,0,1,1,7,11,24
"('55.639532', '37.593291')",0.6091148472996687,0,1,2,7,10,26
"('55.660923', '37.5948')",0.8076720454753178,0,1,4,6,15,23
"('55.642316', '37.596237')",0.341519672285524,1,0,4,4,13,23
"('55.648148', '37.596435')",0.39300426821341405,1,0,6,2,16,20
"('55.648094', '37.603775')",0.7267587645297293,0,1,5,4,13,23
"('55.640152', '37.595806')",0.5571686440617107,0,1,3,6,11,24
"('55.643612', '37.59656')",0.24157527552134522,1,0,4,4,13,23
"('55.6414593', '37.5912878')",0.4204716378177514,1,0,3,5,12,24
"('55.64384', '37.59934')",0.38314569851647945,1,0,4,4,13,23
"('55.647839', '37.600388')",0.5310084850998197,0,1,5,4,13,23
"('55.642199', '37.60452')",0.7543691007904807,0,1,4,5,12,24
"('55.6535996', '37.5752921')",1.4989269204778635,0,0,2,5,15,21
"('55.6395147', '37.607138')",1.0480791600006043,0,0,5,4,13,23
"('55.658363', '37.60339')",0.5377945742852773,0,1,5,5,14,22
"('55.661019', '37.592941')",0.919456397245198,0,1,4,6,15,24
"('55.662548', '37.58578')",1.351603392975516,0,0,5,4,17,21
"('55.639293', '37.596579')",0.6623056617709997,0,1,3,6,11,25
"('55.663918', '37.576187')",1.96016045553473,0,0,3,5,15,23
"('55.643556', '37.606227')",0.8104672837272964,0,1,5,5,12,24
"('55.64171', '37.607674')",0.9582628837612911,0,1,4,5,12,24
"('55.64316', '37.602984')",0.6247140627637672,0,1,3,6,11,25
"('55.666843', '37.610646')",0.511168930561775,0,2,4,6,12,26
"('55.63504', '37.611329')",1.5730567812376104,0,0,4,4,13,23
"('55.6487014', '37.6044115')",0.7951292944996045,0,1,4,5,12,24
"('55.6637', '37.646498')",1.331782618479212,0,0,6,5,14,21
"('55.638231', '37.695384')",0.8890099523156391,0,1,1,4,14,15
"('55.652913', '37.647307')",0.6420016409407197,0,1,5,5,13,21
"('55.667007', '37.646023')",1.2092165909307229,0,0,6,5,13,20
"('55.679199', '37.703658')",2.647088725160539,0,0,2,4,14,18
"('55.630863', '37.601358')",1.251896156597399,0,0,3,5,12,23
"('55.633653', '37.609182')",1.5992032069162498,0,0,4,4,13,23
"('55.674082', '37.661608')",0.19278702751882382,1,0,4,5,14,19
"('55.66831', '37.646651')",1.1646024219887368,0,0,6,5,13,20
"('55.6672', '37.64359')",1.0546604006808684,0,0,6,5,13,21
"('55.67752', '37.687847')",1.7655281597501413,0,0,2,6,12,20
"('55.67694', '37.54109')",3.8778101914023733,0,0,0,4,18,19
"('53.9448795', '32.8480138')",584.3905538629108,0,0,0,0,0,0
"('55.7267', '37.531577')",2.1632716963283394,0,0,2,4,16,26
"('55.743877', '37.578224')",1.367318546200753,0,0,1,3,20,24
"('55.726395', '37.52971')",2.2832975208599713,0,0,2,4,16,25
"('55.749847', '37.56705')",1.621294693629231,0,0,2,2,19,26
"('55.746452', '37.568085')",1.2691672279839221,0,0,2,2,21,23
"('55.724611', '37.530463')",2.3380383018738047,0,0,2,4,16,25
"('55.72702', '37.524227')",2.022135231654275,0,0,2,3,15,26
"('55.746292', '37.57193')",1.342931051871204,0,0,1,2,20,24
"('55.73974', '37.58122')",1.280649778870663,0,0,1,3,20,23
"('55.735941', '37.583598')",1.3424059420524943,0,0,1,3,20,21
"('55.747643', '37.57909')",1.7134286182558844,0,0,1,2,19,26
"('55.750712', '37.564904')",1.6974732712189382,0,0,2,2,19,26
"('55.74824', '37.584568')",1.9914824687540975,0,0,1,2,19,25
"('55.74871', '37.578514')",1.787404825378259,0,0,1,2,19,26
"('55.748356', '37.571545')",1.541943315720544,0,0,1,2,19,25
"('55.738074', '37.564446')",0.3143223447600531,1,0,1,4,18,27
"('55.745564', '37.551214')",1.3134571922332536,0,0,3,1,22,25
"('55.7333', '37.538925')",1.4857285658839972,0,0,3,3,18,26
"('55.74379', '37.64798')",3.9664281060344924,0,0,0,3,18,25
"('55.753038', '37.635')",3.649367728734849,0,0,0,2,19,23
"('55.764475', '37.642869')",2.349421918093354,0,0,1,0,20,18
"('55.75398', '37.647127')",3.5316471594034424,0,0,0,2,20,22
"('55.7472878', '37.6227971')",4.022125567709402,0,0,0,2,20,21
"('55.754091', '37.642204')",3.5050296855118686,0,0,0,2,20,23
"('55.746081', '37.646202')",4.20549781252679,0,0,0,3,19,24
"('55.746204', '37.636436')",4.397400773494161,0,0,0,4,18,26
"('55.744363', '37.63888')",4.481788246680221,0,0,0,4,18,25
"('55.749405', '37.66141')",3.759076250748268,0,0,0,4,15,26
"('55.772689', '37.613216')",2.310053554940575,0,0,1,1,18,26
"('55.736736', '37.674667')",2.16151134024613,0,0,1,3,16,26
"('55.723252', '37.563521')",1.370473099437283,0,0,1,4,17,25
"('55.790084', '37.582709')",3.0197901845258874,0,0,0,6,12,30
"('55.738399', '37.629691')",4.003131941510044,0,0,0,3,18,25
"('55.768785', '37.629601')",2.0262962605203043,0,0,1,1,19,21
"('55.74467', '37.62874')",4.298830772187526,0,0,0,3,19,22
"('55.744885', '37.624876')",4.0694616103213574,0,0,0,3,18,23
"('55.677829', '37.682449')",1.4348192670819817,0,0,2,6,12,21
"('55.681286', '37.669666')",0.8813376821750897,0,1,1,8,10,26
"('55.688553', '37.687542')",2.2573156612763077,0,0,2,6,11,25
"('55.680557', '37.6714')",0.9079439050201566,0,1,1,8,10,25
"('55.6826878', '37.6433842')",1.3126633871853122,0,0,5,4,14,24
"('55.689451', '37.686707')",2.283749964226071,0,0,2,6,11,26
"('55.680453', '37.674409')",1.0578082235853616,0,0,1,8,10,25
"('55.6794626', '37.6953989')",2.269067671125127,0,0,2,7,11,21
"('55.679255', '37.678146')",1.213605037652696,0,0,1,8,10,25
"('55.688862', '37.684416')",2.1338974048187107,0,0,2,6,11,27
"('55.679726', '37.70533')",2.7093581664367186,0,0,2,3,15,17
"('55.678703', '37.668076')",0.6171742554630282,0,1,1,8,10,25
"('55.676971', '37.671301')",0.7282282339493985,0,1,1,8,11,23
"('55.6795242', '37.6675107')",0.6468799600732457,0,1,2,7,11,24
"('55.685686', '37.674651')",1.4565130833885647,0,0,2,8,9,28
"('55.684396', '37.695519')",2.441565496672601,0,0,1,6,11,23
"('55.679661', '37.68659')",1.7341181675600068,0,0,2,7,12,21
"('55.687634', '37.692104')",2.426235832658283,0,0,1,6,11,24
"('55.6864418', '37.6999755')",2.791514384087376,0,0,1,4,13,22
"('55.6857222', '37.6997289')",2.7435572661827976,0,0,1,5,13,22
"('55.677671', '37.666225')",0.45697293716037213,1,0,2,7,12,22
"('55.6745081', '37.6905715')",1.926950051174398,0,0,2,6,13,18
"('55.717741', '37.675217')",1.6885090166992627,0,0,2,2,14,26
"('55.71378', '37.677122')",1.806253947346036,0,0,2,2,15,25
"('55.736235', '37.671849')",2.259875807028343,0,0,1,3,17,25
"('55.737568', '37.631748')",3.8726679620782254,0,0,0,3,19,24
"('55.599626', '37.160105')",6.756851568977693,0,0,0,0,1,2
"('55.680057', '37.672936')",0.9557294020199862,0,1,0,9,9,26
"('55.68172', '37.681057')",1.4918997728190262,0,0,1,8,10,25
"('55.676994', '37.69323')",2.0967303129159838,0,0,2,6,12,20
"('55.667736', '37.652445')",0.991966704405476,0,1,5,6,12,20
"('55.68794', '37.687218')",2.1982847280775144,0,0,2,6,11,25
"('55.680194', '37.639312')",1.3099031936003487,0,0,6,4,14,22
"('55.677539', '37.634398')",1.0959806086874653,0,0,5,5,12,25
"('55.682935', '37.64542')",1.231344417701389,0,0,5,4,14,24
"('55.709028', '37.620761')",2.005444213322784,0,0,2,5,16,25
"('55.669249', '37.568192')",2.5650047500523203,0,0,1,5,15,23
"('55.590282', '37.445725')",4.862809574786603,0,0,0,1,8,17
"('55.49221', '37.31481')",97.39968449092926,0,0,0,0,0,0
"('55.575169', '37.476734')",3.9819534077129712,0,0,0,2,7,17
"('55.519519', '37.39603')",8.8005634033455,0,0,0,0,1,8
"('55.591915', '37.457537')",4.1310641628101425,0,0,0,1,8,18
"('55.4860975', '37.2977397')",98.72735949497073,0,0,0,0,0,0
"('55.497184', '37.320293')",97.12100626637442,0,0,0,0,0,0
"('55.574548', '37.487424')",3.457187508803515,0,0,0,2,8,16
"('55.488376', '37.332573')",95.55216833505011,0,0,0,0,0,0
"('55.5539909', '37.4633573')",3.81907504455275,0,0,0,1,5,12
"('55.518041', '37.343802')",11.513244162473063,0,0,0,0,0,8
"('55.531992', '37.384691')",9.03275953829135,0,0,0,0,1,10
"('55.567214', '37.480265')",3.264605987199826,0,0,0,1,9,14
"('55.574839', '37.477085')",3.940953841329661,0,0,0,2,7,17
"('55.592637', '37.461122')",3.897694531151625,0,0,0,1,7,19
"('55.533435', '37.376411')",9.506307963276146,0,0,0,0,1,10
"('55.591599', '37.42916')",5.733982287884565,0,0,0,0,6,17
"('55.517549', '37.3960797')",8.888253917700625,0,0,0,0,1,7
"('55.5163525', '37.3473271')",11.779297474484531,0,0,0,0,0,8
"('55.5781857', '37.4777913')",4.1671394073559505,0,0,0,2,8,16
"('55.570624', '37.4872')",3.1533270804545177,0,0,0,2,8,16
"('55.567214', '37.479385')",3.3113402995002734,0,0,0,1,9,14
"('55.591793', '37.454861')",4.281278892539655,0,0,0,1,8,18
"('55.566155', '37.478333')",3.306942373799369,0,0,0,1,8,15
"('55.5110627', '37.3503601')",11.824248095882156,0,0,0,0,0,6
"('55.5179916', '37.3940623')",8.983404411954714,0,0,0,0,1,7
"('55.555031', '37.46732')",3.581485751979171,0,0,0,1,5,13
"('55.502523', '37.322521')",12.647301283154732,0,0,0,0,0,3
"('55.577566', '37.48269')",3.9066938002775493,0,0,0,2,8,16
"('55.569571', '37.491575')",2.873560956705997,0,0,1,1,9,14
"('55.497154', '37.320014')",97.14569070783286,0,0,0,0,0,0
"('55.59078', '37.427435')",5.870033191785176,0,0,0,0,6,17
"('55.496786', '37.320122')",97.1180578212745,0,0,0,0,0,0
"('55.470207', '37.296093')",98.16103123979647,0,0,0,0,0,0
"('55.5766086', '37.481569')",3.8756118322908426,0,0,0,2,8,16
"('55.5776617', '37.478889')",4.077086627665378,0,0,0,2,8,16
"('55.591498', '37.447295')",4.710285315722697,0,0,0,1,8,18
"('55.519152', '37.392499')",9.021333724263272,0,0,0,0,1,8
"('55.47647', '37.296207')",98.43321514729728,0,0,0,0,0,0
"('55.496639', '37.319206')",97.19683258930947,0,0,0,0,0,0
"('55.509441', '37.338277')",12.249292480456333,0,0,0,0,0,4
"('55.573973', '37.488943')",3.3459129991977687,0,0,0,2,8,16
"('55.5792254', '37.4810338')",4.114537929599019,0,0,0,2,8,16
"('55.490616', '37.334765')",95.45443279108326,0,0,0,0,0,0
"('55.5191118', '37.3494791')",11.56579424318382,0,0,0,0,0,8
"('55.583085', '37.4643469')",4.427262021901685,0,0,0,1,7,18
"('55.56533', '37.47888')",3.231655595561357,0,0,0,1,9,14
"('55.5782812', '37.4827046')",3.966110601392039,0,0,0,2,8,16
"('55.7684938', '37.6540297')",2.044104794199177,0,0,1,1,18,19
"('55.782152', '37.662973')",1.3653838840054855,0,0,1,4,17,19
"('55.776877', '37.659371')",1.4543217836767295,0,0,1,2,20,17
"('55.782947', '37.659182')",1.1124324932877667,0,0,1,4,17,17
"('55.771317', '37.655346')",1.7923503195837054,0,0,1,1,18,19
"('55.777616', '37.66097')",1.47997602993495,0,0,1,2,20,17
"('55.784288', '37.657476')",0.9768208063240039,0,1,0,5,16,17
"('55.78115', '37.667087')",1.6447648040891396,0,0,1,4,15,21
"('55.7817272', '37.6659454')",1.5576868034253932,0,0,1,4,15,21
"('55.772175', '37.659874')",1.8634290461723613,0,0,1,1,21,16
"('55.646426', '37.494836')",4.008302613908959,0,0,0,1,19,16
"('55.625491', '37.504834')",1.5954160482129214,0,0,1,0,18,16
"('55.651186', '37.483095')",4.758290748833066,0,0,0,2,16,20
"('55.628241', '37.506487')",1.863698189588832,0,0,1,0,18,17
"('55.647854', '37.495779')",4.1453421128252215,0,0,0,1,19,15
"('55.630146', '37.507924')",2.0560400292009358,0,0,1,1,16,19
"('55.628495', '37.504762')",1.9170525298575196,0,0,1,0,17,18
"('55.644694', '37.493973')",3.8401002979405656,0,0,0,1,19,15
"('55.649251', '37.484406')",4.527763974914539,0,0,0,2,16,20
"('55.84368', '37.547306')",3.2065352254797004,0,0,0,3,16,16
"('55.840629', '37.529852')",4.1092931881070776,0,0,0,3,18,13
"('55.837899', '37.537497')",4.0155461796188625,0,0,0,3,17,14
"('55.8539585', '37.5058702')",2.0018943679046486,0,0,1,2,16,15
"('55.831833', '37.530535')",4.359031851265543,0,0,0,3,18,14
"('55.831875', '37.500443')",3.9203134213533386,0,0,0,3,17,14
"('55.84678', '37.496964')",2.2944306262830816,0,0,1,3,14,17
"('55.8343579', '37.5301737')",4.497536551181362,0,0,0,3,18,14
"('55.841534', '37.542957')",3.543663022857987,0,0,0,3,17,15
"('55.841623', '37.489701')",2.6979350068805417,0,0,1,3,15,16
