coords,edu_school_closest_km,edu_school_less500m,edu_school_0.5-1km,edu_school_1-3km,edu_school_3-5km,edu_school_5-10km,edu_school_10-15km
"('55.742043', '37.552498')",0.15655698099360454,2,0,19,32,152,170
"('55.83525', '37.643642')",0.05992265812036406,1,1,16,25,137,111
"('55.8134352', '37.5849828')",0.3235249024192028,2,3,19,39,147,148
"('55.695625', '37.821663')",0.08595265213161819,2,0,16,20,78,98
"('55.715527', '37.477104')",0.30681073514375334,1,3,17,25,123,136
"('55.739534', '37.63341')",0.3796399880736191,2,3,25,34,150,192
"('55.684929', '37.533966')",0.10494684000573379,4,5,26,39,115,176
"('55.6900645', '37.6548865')",0.9361425763502835,0,1,12,25,151,160
"('55.703599', '37.516463')",0.19598383323526022,2,3,17,40,121,158
"('55.806504', '37.449866')",0.1399399225946948,1,2,16,34,101,133
"('55.702763', '37.64046')",0.17105895006497662,1,2,14,30,148,179
"('55.700877', '37.622405')",0.3097188558120387,2,1,17,33,142,186
"('55.7220172', '37.6077158')",0.021812027114155,2,3,14,39,137,197
"('55.828217', '37.462414')",0.46940735470779466,1,1,18,36,97,129
"('55.8170545', '37.7545798')",0.3153687121502091,1,1,15,13,94,124
"('55.763245', '37.624822')",0.6393742524325682,0,6,27,40,135,218
"('55.68153', '37.849888')",0.17930178439384792,2,1,7,15,70,77
"('55.7355913', '37.5720679')",0.14434865451768283,1,4,17,36,149,180
"('55.853178', '37.608212')",0.1764374354714856,3,0,17,39,105,132
"('55.712766', '37.528064')",0.4283719830931106,1,1,23,33,143,146
"('55.7439839', '37.5919617')",0.13085537263942443,2,2,27,31,153,191
"('55.699886', '37.500745')",0.2265803941695694,2,3,17,41,109,157
"('55.5512278', '37.3356786')",0.7365196468218541,0,1,0,3,13,46
"('55.740928', '37.622118')",0.32117087770616864,1,3,24,34,149,193
"('55.741683', '37.601726')",0.07880816903183561,2,2,24,38,151,190
"('55.829598', '37.465955')",0.5226638263206165,0,1,19,38,97,129
"('55.758402', '37.549282')",0.39612238626895147,3,0,20,33,149,177
"('55.756376', '37.54948')",0.43379636958790707,2,2,21,34,148,173
"('55.756771', '37.592725')",0.10035389698807129,4,3,24,34,146,201
"('55.779575', '37.706863')",0.048600782341942914,2,4,19,27,127,153
"('55.786166', '37.497836')",0.40791347235178316,1,4,21,28,133,161
"('55.699314', '37.511239')",0.13724148313626935,3,1,23,37,117,156
"('55.735175', '37.44064')",0.010216383370799127,1,1,17,12,114,134
"('55.738292', '37.625972')",0.4475653097433861,2,2,25,33,155,187
"('55.76447', '37.652958')",0.05839749084978929,4,2,27,40,131,203
"('55.659573', '37.56007')",0.3348377534281224,1,2,28,35,112,162
"('55.76963', '37.47916')",0.1187541944437204,4,1,11,32,116,174
"('55.763194', '37.62572')",0.694910418359866,0,6,26,41,135,216
"('55.733493', '37.609973')",0.03508041000143691,2,1,23,37,146,197
"('55.738262', '37.420177')",0.1752736446781796,3,4,13,12,97,128
"('55.774137', '37.630769')",0.2820328874700348,2,2,25,40,127,211
"('55.759384', '37.602894')",0.11874946067781417,4,4,25,32,143,212
"('55.810165', '37.651043')",0.09551175495266451,1,2,15,33,143,137
"('55.768441', '37.62713')",0.32499113504211063,2,2,29,35,138,206
"('55.770157', '37.635998')",0.10360142609549426,2,5,26,40,133,206
"('55.71304', '37.500944')",0.8381539460816472,0,1,17,34,126,147
"('55.73467', '37.616646')",0.07175990354935456,2,1,25,33,152,190
"('55.700444', '37.51071')",0.204898457246006,4,1,22,36,119,153
"('55.807983', '37.450844')",0.07933294940176554,1,2,16,33,102,131
"('55.754983', '37.647675')",0.0709286250566148,1,4,27,34,135,199
"('55.743923', '37.582655')",0.09190066481379164,1,5,20,36,147,192
"('55.809348', '37.450872')",0.12228374106589689,1,2,15,37,96,136
"('55.651811', '37.395635')",0.32530336747308997,3,1,8,10,70,90
"('55.729807', '37.62978')",0.24061926166565156,3,0,23,32,145,192
"('55.669889', '37.556262')",0.3960510445335483,2,4,28,32,118,167
