coords,edu_school_closest_km,edu_school_less500m,edu_school_0.5-1km,edu_school_1-3km,edu_school_3-5km,edu_school_5-10km,edu_school_10-15km
"('55.7226001', '37.4354938')",0.306847236089924,2,1,18,10,109,131
"('55.7100596', '37.3993136')",0.04375963701900285,2,1,6,15,75,127
"('55.716174', '37.441413')",0.047086892660425324,1,2,16,14,105,131
"('55.712832', '37.398123')",0.10707282080087477,2,2,7,14,75,129
"('55.7234715', '37.433165')",0.3003404296980328,2,1,19,8,108,131
"('55.718032', '37.496631')",0.9298133355402939,0,2,19,29,131,136
"('55.72001', '37.442623')",0.39067722113051034,2,2,16,14,110,136
"('55.718147', '37.424749')",0.29038238216108786,1,2,17,8,102,129
"('55.73111', '37.452678')",0.1772776583201335,2,4,17,19,121,139
"('55.720489', '37.450987')",0.3421144674992876,2,6,11,21,109,142
"('55.734207', '37.454465')",0.29280802838498293,2,2,19,18,122,140
"('55.717281', '37.414025')",0.09710882790842178,2,0,15,7,95,121
"('55.72124', '37.426556')",0.11066004246088797,1,4,15,12,101,133
"('55.728124', '37.452067')",0.2965475955333798,2,7,12,24,111,148
"('55.73701', '37.435178')",0.27383673274332965,2,2,17,11,110,132
"('55.729554', '37.43446')",0.2748495460099582,1,3,17,9,109,135
"('55.726244', '37.467536')",0.19442154474476778,3,4,13,23,124,143
"('55.723967', '37.437173')",0.18680064420207712,2,1,19,9,113,132
"('55.7211809', '37.4297068')",0.05514184219733418,2,2,17,10,105,131
"('55.725555', '37.463825')",0.06533942916872056,4,4,13,22,122,143
"('55.724271', '37.44691')",0.1578588047202088,2,5,13,20,110,143
"('55.724754', '37.434647')",0.3549435723859989,2,1,19,7,112,132
"('55.724007', '37.45476')",0.10530739982576055,3,7,11,22,113,143
"('55.721949', '37.426977')",0.07836757152442445,1,4,15,12,99,137
"('55.722588', '37.452103')",0.23701729364447413,3,6,12,21,110,144
"('55.724165', '37.47624')",0.1059962962924778,1,4,17,18,134,132
"('55.7140074', '37.4342459')",0.32397798251924564,1,1,17,14,98,133
"('55.735657', '37.432537')",0.14460915107909073,2,2,17,9,106,134
"('55.7207169', '37.4588989')",0.08095195674615772,5,1,16,16,122,132
"('55.7068658', '37.3981247')",0.16673487906771906,1,1,5,16,72,126
"('55.728576', '37.434325')",0.37518992218656533,1,3,17,9,110,133
"('55.719318', '37.445779')",0.4764849192601934,1,5,13,19,107,141
"('55.7181046', '37.3990861')",0.1308804669760785,2,2,9,12,82,123
"('55.722421', '37.425468')",0.09956990801568398,1,4,16,9,101,128
"('55.7573', '37.65146')",0.1582103558883308,1,4,26,36,129,200
"('55.759755', '37.655023')",0.06342416388241469,1,4,25,40,125,204
"('55.7642819', '37.6599564')",0.346767963571219,4,2,27,37,128,197
"('55.752911', '37.655688')",0.068132956050379,4,0,29,30,140,190
"('55.761305', '37.65629')",0.0551763190317994,1,4,25,40,124,203
"('55.7533075', '37.6688339')",0.3335724611829734,2,4,24,32,135,187
"('55.755353', '37.668615')",0.39781261797911294,2,5,23,36,131,190
"('55.7642852', '37.659961')",0.3466516593425327,4,2,27,37,128,197
"('55.751903', '37.664069')",0.08279753967474442,3,3,25,35,130,192
"('55.763032', '37.657808')",0.2640199508881069,3,3,25,40,126,202
"('55.759957', '37.656901')",0.07116543767205198,1,4,26,39,125,204
"('55.644882', '37.702679')",0.45222279035588664,1,4,13,34,85,157
"('55.650866', '37.71512')",0.054082053283345574,2,3,16,32,88,154
"('55.645121', '37.718911')",0.13268274997343837,3,3,22,27,86,147
"('55.644196', '37.722794')",0.08065440088413771,1,5,19,30,82,146
"('55.646015', '37.722999')",0.04834967952515881,2,3,22,27,86,146
"('55.645866', '37.716206')",0.21862881595711997,3,1,23,26,88,147
"('55.64761', '37.720223')",0.13003126889892969,2,2,22,27,88,147
"('55.7567884', '37.780454')",0.0867096799112193,3,2,10,29,91,128
"('55.74833', '37.797054')",0.06891046026031998,2,3,15,27,92,112
"('55.75141', '37.78573')",0.2501764186062275,3,4,12,29,92,123
"('55.75918', '37.796986')",0.029119432149782146,3,1,16,22,88,112
"('55.744476', '37.79976')",0.12549512862115303,1,3,16,25,95,105
"('55.74419', '37.803318')",0.05214331040508058,2,1,18,20,98,97
"('55.739878', '37.778847')",0.2817266479848354,1,2,16,27,97,130
"('55.760727', '37.776592')",0.16935273562389805,3,1,12,28,91,129
"('55.740973', '37.78253')",0.0920762308260257,1,3,13,29,96,126
"('55.763126', '37.78561')",0.07724994122240027,3,1,16,23,89,122
"('55.748113', '37.796445')",0.02467093366618984,2,3,16,26,95,110
"('55.77836', '37.83774')",0.10369170088406629,2,3,10,25,56,103
"('55.758114', '37.776008')",0.07232204150140509,2,1,10,30,89,134
"('55.7438104', '37.8026969')",0.03119121584862907,1,2,17,21,97,98
"('55.757885', '37.787785')",0.10987093145203357,4,0,16,21,94,114
"('55.748138', '37.785108')",0.16467198291008373,4,2,14,29,94,123
"('55.7471445', '37.8269653')",0.16128133902795674,3,1,21,13,91,82
"('55.756356', '37.777931')",0.05499350724515522,3,2,12,27,94,130
"('55.746845', '37.826855')",0.17678601426207727,2,2,18,16,89,85
"('55.75748', '37.77315')",0.10186836636159889,1,2,12,28,96,129
"('55.746292', '37.79104')",0.04820296609957582,3,2,15,30,90,118
"('55.74352', '37.799213')",0.14011540357218058,1,3,16,25,96,105
"('55.7584029', '37.795835')",0.045890773700761445,3,2,15,23,89,113
"('55.75805', '37.791206')",0.05897359175900493,3,2,14,25,91,113
"('55.75017', '37.794758')",0.13440797827559586,1,6,11,30,89,115
"('55.740993', '37.823314')",0.07973811382804083,1,2,19,17,89,90
"('55.74661', '37.796616')",0.09136107151892749,1,4,15,27,94,112
"('55.762642', '37.836447')",0.06805712934212547,4,1,15,15,78,88
"('55.7406452', '37.5232682')",0.033921682940143576,2,0,18,30,145,164
"('55.741399', '37.522099')",0.06943063928821855,2,2,15,33,144,164
"('55.730786', '37.467949')",0.06670975917014645,1,5,13,25,127,146
"('55.735434', '37.4726454')",0.209952094901149,1,0,17,26,127,147
"('55.737684', '37.521156')",0.15896989244589263,2,0,17,32,143,162
"('55.735809', '37.525028')",0.19912354798994406,2,2,16,37,140,166
"('55.735941', '37.527444')",0.06649195457889097,1,3,15,39,139,167
"('55.741475', '37.535826')",0.019153295161138464,2,1,15,32,150,160
"('55.740446', '37.52492')",0.039556223704840215,2,0,19,30,146,163
"('55.7375835', '37.5163839')",0.13660676758884813,1,3,14,33,139,164
"('55.737507', '37.518371')",0.12318411704436623,2,1,17,32,140,165
"('55.73296', '37.538125')",0.19057817368990917,1,2,15,38,144,166
"('55.736549', '37.526151')",0.1021032220572658,2,2,16,39,138,168
"('55.736508', '37.522054')",0.1658637531748029,2,2,15,37,139,167
"('55.735596', '37.519539')",0.07732522923911991,1,3,15,36,141,163
"('55.7368186', '37.531715')",0.05920973752680852,1,2,18,37,139,168
"('55.735393', '37.522117')",0.08600795406501033,1,3,14,38,139,165
"('55.73926', '37.549363')",0.18942936989560594,2,0,19,32,153,164
"('55.737725', '37.540721')",0.3867213093791303,2,2,18,34,150,164
"('55.736199', '37.523258')",0.1932163435247871,2,2,16,37,141,165
"('55.878536', '37.479115')",0.5169670961462668,0,3,9,21,92,80
"('55.878576', '37.484298')",0.2521687876897939,1,1,14,18,99,76
"('55.709698', '37.61238')",0.0761674437379401,2,1,17,35,140,184
"('55.706203', '37.585727')",0.1134512130315647,1,2,17,42,133,185
"('55.694758', '37.562191')",0.3479478595305475,3,2,24,33,139,169
"('55.707852', '37.606685')",0.25544398465700585,2,1,19,31,144,179
"('55.710809', '37.610404')",0.04854240200391597,2,2,16,36,139,185
"('55.710327', '37.589347')",0.49477338460037096,1,2,21,32,147,173
"('55.711087', '37.597675')",0.05781777711641296,2,2,20,36,141,181
"('55.710692', '37.607448')",0.20911147159820395,2,2,16,37,137,186
"('55.71286', '37.615856')",0.07476103296305894,2,2,17,33,142,189
"('55.71305', '37.596228')",0.055939112683967916,2,0,22,36,139,183
"('55.69107', '37.560188')",0.35896643288551955,2,4,21,39,127,177
"('55.689563', '37.561949')",0.16708278507630397,1,6,21,40,127,175
"('55.708663', '37.590255')",0.4332791091313838,1,2,21,35,143,178
"('55.695047', '37.579391')",0.10815701522794975,1,4,20,39,129,183
"('55.694246', '37.570573')",0.33155075550831176,1,6,20,39,132,177
"('55.714405', '37.61018')",0.08944400003594076,2,4,14,37,140,188
"('55.7100458', '37.6088908')",0.13748179836932437,2,2,17,37,138,185
"('55.718111', '37.596363')",0.17251276990470646,2,1,19,37,143,184
"('55.717842', '37.603163')",0.4544666837488651,1,4,15,39,134,194
"('55.686375', '37.848045')",0.11490150649846535,1,2,7,16,67,85
"('55.685947', '37.84607')",0.1146735375078915,1,2,7,17,68,86
"('55.569064', '37.581953')",0.13160453667790864,3,3,10,20,62,100
"('55.566247', '37.583787')",0.061857915568754425,3,2,10,19,62,97
"('55.566063', '37.578469')",0.12727528530466323,3,2,11,19,62,97
"('55.558641', '37.559308')",0.21116357610178427,1,3,13,14,49,97
"('55.565855', '37.580346')",0.08250657567825717,2,3,10,19,61,98
"('55.564969', '37.579672')",0.16815424717552732,2,2,11,19,60,97
"('55.607316', '37.591503')",0.27619832942080147,3,1,15,25,103,103
"('55.763275', '37.716927')",0.0569465934186283,1,2,17,33,117,167
"('55.764202', '37.716442')",0.055898839924471116,1,2,16,35,115,167
"('55.764886', '37.711617')",0.16563220406719772,1,2,17,32,120,166
"('55.720923', '37.68843')",1.0367995426138543,0,0,16,29,135,174
"('55.761154', '37.7025')",0.03056485208928848,2,1,24,25,131,165
"('55.764465', '37.701978')",0.11806066871106566,2,1,22,26,131,159
"('55.77192', '37.71317')",0.14624069046805863,2,1,20,29,122,156
"('55.771818', '37.705185')",0.04085709104047928,2,2,20,27,129,159
"('55.75825', '37.710548')",0.17919122828378195,2,2,19,35,117,175
"('55.76227', '37.71203')",0.07908344984983308,2,0,18,31,120,167
"('55.764755', '37.704197')",0.1291950977226691,2,1,21,28,129,161
"('55.89496', '37.53006')",0.16140181958502745,1,2,17,22,75,98
"('55.894248', '37.526124')",0.04330059389569176,2,0,17,21,79,94
"('55.904887', '37.550765')",0.07354571407546986,1,1,14,17,70,95
"('55.8882495', '37.5261675')",0.1382531786708953,1,3,18,20,91,91
"('55.886393', '37.54012')",0.16087376751084773,1,3,17,29,85,100
"('55.906456', '37.55019')",0.07504316061289897,1,1,13,16,69,95
"('55.883303', '37.53632')",0.06681103616302785,1,3,20,27,88,106
"('55.905068', '37.547926')",0.09403390909579394,1,1,14,18,69,96
"('55.901056', '37.554753')",0.09894713626255253,1,2,18,17,75,94
"('55.865642', '37.534658')",0.032860194444782644,1,3,23,29,107,105
"('55.84675', '37.582493')",0.14878223299129384,1,2,17,42,117,130
"('55.854315', '37.410439')",0.16962671812172103,2,2,11,23,72,96
"('55.889043', '37.54065')",0.23451440192194944,2,1,19,23,88,94
"('55.897079', '37.541296')",0.14507913847182355,1,1,19,17,80,94
"('55.892345', '37.541395')",0.059783878363310124,1,2,18,20,84,97
"('55.884832', '37.526618')",0.07256321609087789,1,3,19,23,89,98
"('55.893213', '37.539266')",0.05735913251067487,1,2,17,22,81,99
"('55.89407', '37.53905')",0.13418896190927287,1,2,17,21,78,99
"('55.888422', '37.527301')",0.17312217410257208,2,1,20,18,92,91
"('55.884292', '37.540147')",0.24134838417673932,1,4,18,28,88,105
"('55.9023951', '37.5556266')",0.03772172895151772,1,2,18,15,74,94
"('55.841387', '37.547737')",0.05061779905584501,4,0,24,35,122,131
"('55.843267', '37.544117')",0.033915144612589584,4,0,25,35,120,132
"('55.844445', '37.562685')",0.1499976325487633,1,2,17,41,119,131
"('55.840689', '37.548393')",0.10200338969180647,4,1,23,36,123,131
"('55.843555', '37.553073')",0.08972090417891393,2,3,18,39,118,133
"('55.732884', '37.483355')",0.09776177618594958,1,2,19,24,133,145
"('55.779413', '37.513709')",0.013219106919790403,2,2,26,26,144,161
"('55.779975', '37.615722')",0.013317288331751428,1,3,27,40,129,205
"('55.804182', '37.750128')",0.6292087571079495,0,2,14,20,96,130
"('55.8083718', '37.7603483')",0.15445127847397103,1,1,16,13,90,123
"('55.8077552', '37.7580201')",0.12142916581207612,1,1,16,15,91,128
"('55.803069', '37.762776')",0.2734433349658853,2,2,16,21,87,129
"('55.8051696', '37.7553')",0.2901873672482245,1,3,14,19,90,129
"('55.80585', '37.75117')",0.5135974873864426,0,2,13,20,93,130
"('55.8080481', '37.7591084')",0.12051504491064634,1,1,16,14,90,124
"('55.797066', '37.725382')",0.23156082892369279,2,2,18,19,125,124
"('55.808412', '37.77087')",0.25490602521767786,2,1,18,12,90,117
"('55.811032', '37.772442')",0.3773236264992426,1,2,16,10,89,115
"('55.80817', '37.765533')",0.04771291917613526,2,0,18,12,91,118
"('55.8057205', '37.7538038')",0.35412906433590596,1,2,13,20,91,131
"('55.799372', '37.764455')",0.11856701172213176,2,2,14,23,87,130
"('55.797273', '37.727039')",0.17733678543976836,2,1,19,19,124,125
"('55.82888', '37.56953')",0.09815718924116221,2,1,19,44,132,137
"('55.785392', '37.63606')",0.20415334865564166,2,0,22,43,128,200
"('55.79222', '37.61362')",0.30975674371268347,2,1,22,39,137,190
"('55.776659', '37.823026')",0.07446013454369452,2,3,15,19,71,101
"('55.702901', '37.491251')",0.5213223399670658,0,4,16,34,109,149
"('55.715601', '37.516413')",0.06587849521428189,2,1,20,37,133,149
"('55.697933', '37.51253')",0.13714066783887716,3,2,24,36,122,153
"('55.71518', '37.506612')",0.4798299972619388,1,2,17,33,134,142
"('55.698211', '37.505475')",0.07507537646980575,3,2,21,40,111,158
"('55.709906', '37.503846')",0.5923435968148315,0,3,18,33,126,146
"('55.710707', '37.50778')",0.3700656946339631,1,3,18,36,126,150
"('55.700689', '37.502795')",0.09025246645228106,2,3,18,40,110,158
"('55.704905', '37.492114')",0.5304804776340233,0,3,12,37,107,151
"('55.700983', '37.493479')",0.3649619944380913,2,2,17,36,106,152
"('55.709429', '37.502983')",0.6059148683794353,0,3,18,33,123,145
"('55.708946', '37.511913')",0.0963729047134573,1,3,18,37,127,149
"('55.6935', '37.50549')",0.03264985042235561,3,2,24,33,121,150
"('55.7141629', '37.5210614')",0.10682166646194831,2,1,21,34,140,147
"('55.701846', '37.492177')",0.4272594359936533,1,2,18,33,109,148
"('55.698285', '37.497872')",0.2293130312855602,3,2,19,36,112,152
"('55.704093', '37.493165')",0.43940450980206525,1,3,16,34,110,149
"('55.729008', '37.527283')",0.2543229871018502,2,1,16,33,146,154
"('55.732742', '37.471991')",0.08708737927207066,1,3,14,26,127,147
"('55.696453', '37.549022')",0.061506142133536244,4,5,24,34,132,174
"('55.711108', '37.504708')",0.5666499704342072,0,3,15,35,125,149
"('55.72778', '37.536438')",0.36195525326916245,1,1,15,38,140,166
"('55.703038', '37.491287')",0.5367046763383716,0,4,16,34,109,149
"('55.695195', '37.530229')",0.5422415257881646,0,6,21,36,128,161
"('55.701212', '37.492662')",0.3789897285230726,2,2,17,34,107,150
"('55.703921', '37.49029')",0.6131587384122943,0,3,12,37,106,151
"('55.705665', '37.49109')",0.6241933219409864,0,3,11,37,109,149
"('55.715469', '37.521111')",0.2259375588906713,2,1,23,33,141,142
"('55.702728', '37.509685')",0.16945738617265269,3,2,21,36,119,152
"('55.71262', '37.5120788')",0.22172092281426486,2,2,17,35,133,145
"('55.749962', '37.691215')",0.6267314584974487,0,6,17,35,129,179
"('55.704823', '37.497495')",0.2429752177913987,1,2,20,31,115,145
"('55.716171', '37.496692')",0.8738381053802989,0,1,18,30,129,139
"('55.723592', '37.527256')",0.501098481969101,0,2,17,33,144,149
"('55.727394', '37.535754')",0.3995539168778167,1,1,15,39,139,164
"('55.724697', '37.528118')",0.4252472193524597,1,1,16,34,145,150
"('55.714206', '37.505355')",0.5492796327070772,0,3,15,35,128,146
"('55.71232', '37.511625')",0.265551672715174,2,2,17,36,128,150
"('55.7016804', '37.4925216')",0.4199288423010803,1,3,16,35,107,150
"('55.701648', '37.498644')",0.16964376287599645,1,4,18,40,108,155
"('55.727278', '37.525522')",0.11331047828638863,1,2,14,35,143,155
"('55.700039', '37.509028')",0.09765620855547791,4,1,22,37,117,155
"('55.705488', '37.493344')",0.4911705581157531,1,2,13,36,110,150
"('55.696316', '37.504555')",0.16942931923531676,3,2,22,37,114,156
"('55.703454', '37.489509')",0.5705263948161593,0,3,13,36,104,153
"('55.7622179', '37.6337951')",0.2107071128541879,2,3,29,36,136,206
"('55.770126', '37.628326')",0.24317791008053305,2,2,28,35,135,209
"('55.768936', '37.61811')",0.1876167875553112,1,4,27,35,131,216
"('55.761112', '37.635961')",0.027449293904561325,2,3,29,37,133,208
"('55.731374', '37.589985')",0.12113690653250407,2,3,19,36,151,186
"('55.75371', '37.642124')",0.22979440537800772,1,2,29,33,135,202
"('55.734567', '37.595716')",0.1616087986367948,2,2,22,36,153,192
"('55.729437', '37.572872')",0.4434493212161219,1,5,15,40,141,185
"('55.729594', '37.56688')",0.2870515469968519,3,2,17,37,147,175
"('55.721234', '37.576816')",0.07443310061583124,2,2,18,38,143,184
"('55.718659', '37.576807')",0.11588151461655805,1,1,21,34,147,176
"('55.7305892', '37.5712284')",0.541934104724888,0,6,15,40,141,186
"('55.719337', '37.581318')",0.0843169784107895,1,2,16,40,142,188
"('55.721929', '37.577804')",0.04200388185430121,1,3,17,38,143,185
"('55.7224843', '37.5740008')",0.118566874389818,2,2,18,39,142,184
"('55.725085', '37.572834')",0.19977000930204117,2,2,18,38,148,176
"('55.728297', '37.561221')",0.03525183672939454,3,1,17,38,150,170
"('55.7246313', '37.5723859')",0.14798584405931878,3,1,19,37,149,174
"('55.721006', '37.584326')",0.29822456368899597,1,3,14,41,142,189
"('55.720687', '37.572378')",0.1299070487350902,2,2,19,37,147,179
"('55.72961', '37.570474')",0.47478027940058065,1,4,17,38,144,183
"('55.722091', '37.56777')",0.11145859002162543,3,1,20,36,147,174
"('55.725575', '37.574634')",0.32346496812170394,1,3,18,37,148,177
"('55.727399', '37.571767')",0.3648809800492052,2,2,18,37,145,180
"('55.707054', '37.93703')",0.3420041080609244,1,4,4,5,33,63
"('55.706695', '37.922398')",0.19794775176789223,2,2,7,8,39,68
"('55.699657', '37.92538')",0.07785067949581562,2,2,7,6,36,69
"('55.71236', '37.882566')",0.05476504030805854,1,2,8,17,48,91
"('55.701815', '37.942727')",0.21389577094231763,2,2,4,5,32,60
"('55.703271', '37.916819')",0.1491879941088323,2,2,7,9,40,73
"('55.704433', '37.918984')",0.1155141980303331,2,2,7,9,39,71
"('55.70319', '37.931713')",0.06457629174170101,3,1,8,4,35,65
"('55.70492', '37.943427')",0.2817463024706749,1,3,4,5,31,58
"('55.699639', '37.941783')",0.06971386726259013,2,1,5,4,33,60
"('55.710951', '37.893131')",0.1005970350224453,2,1,7,16,46,84
"('55.700111', '37.929988')",0.04775379068959979,3,1,8,4,34,67
"('55.70526', '37.93386')",0.2523477194791818,1,4,5,6,34,65
"('55.717574', '37.888621')",0.06932084967796966,3,0,10,13,51,83
"('55.721255', '37.902931')",0.15904956990163996,1,1,9,10,46,79
"('55.713365', '37.88757')",0.11866760967730154,3,0,9,14,49,85
"('55.703261', '37.947838')",0.20065139303213386,2,1,5,4,30,56
"('55.705919', '37.931731')",0.3649342699450923,1,4,5,6,35,65
"('55.69963', '37.92916')",0.07309576660975754,3,1,8,4,35,67
"('55.720859', '37.90533')",0.06281730320151248,1,1,8,11,42,81
"('55.712284', '37.891433')",0.06734385844288297,2,1,7,16,47,85
"('55.700101', '37.941981')",0.0698104007574326,2,1,5,4,33,60
"('55.712878', '37.896948')",0.07272790774625476,2,1,7,16,44,84
"('55.701516', '37.948898')",0.05142103962052577,2,0,6,3,30,56
"('55.7228', '37.868526')",0.4328680828852857,1,1,11,21,53,94
"('55.705696', '37.938602')",0.1877678201488162,1,4,4,5,33,62
"('55.685178', '37.927311')",0.2583811568422792,2,0,5,8,31,67
"('55.682788', '37.928542')",0.10791512995557938,1,1,4,9,29,68
"('55.68113', '37.92423')",0.140253502149406,1,1,4,9,31,67
"('55.698584', '37.932216')",0.11358994539438379,3,0,8,4,34,64
"('55.702318', '37.928174')",0.13496966441486763,3,1,8,4,38,65
"('55.70143', '37.944514')",0.15692340779690173,2,2,4,5,30,60
"('55.682808', '37.917331')",0.06589518976074314,1,1,4,9,34,68
"('55.682869', '37.9192')",0.05236091054869266,1,1,4,9,34,68
"('55.689976', '37.72704')",0.08644036640955426,2,3,20,19,122,143
"('55.693226', '37.722082')",0.07613712008567505,1,3,17,23,123,149
"('55.671514', '37.723376')",0.07637600118066694,1,1,23,21,116,138
"('55.689686', '37.730858')",0.08801406036262013,2,3,19,20,120,143
"('55.69551', '37.746113')",0.20823345085038095,2,4,18,19,111,143
"('55.67957', '37.762246')",0.23579853620182842,2,3,19,21,98,126
"('55.925707', '37.544369')",0.10572103578460508,1,1,3,12,57,73
"('55.930453', '37.54506')",0.15000042338682584,1,1,2,11,53,74
"('55.912315', '37.548115')",0.2119362375287325,1,1,11,16,65,89
"('55.932551', '37.551178')",0.09293896814678866,1,1,2,9,49,73
"('55.9203', '37.550217')",0.5048286755314288,0,2,4,20,53,86
"('55.920381', '37.553217')",0.5352070408514876,0,2,5,19,52,86
"('55.896843', '37.53005')",0.13990269996643542,1,1,16,22,74,98
"('55.892304', '37.535772')",0.09473475415297158,1,2,18,21,84,96
"('55.88331', '37.538162')",0.07635493643114387,1,4,19,27,90,104
"('55.867996', '37.533616')",0.035502978208167994,2,1,25,25,108,101
"('55.913565', '37.553972')",0.1875065570778444,1,1,10,16,62,90
"('55.831423', '37.351716')",0.1346782256974935,2,0,9,14,46,92
"('55.843876', '37.445347')",0.25848039498629083,3,0,17,25,92,107
"('55.848026', '37.427776')",0.1402686203835261,2,2,11,28,81,106
"('55.739721', '37.659874')",0.22858323241693898,3,2,24,30,144,191
"('55.742027', '37.670277')",0.0512868202627926,3,3,24,30,140,181
"('55.741151', '37.672046')",0.18821663208986308,3,3,23,30,141,182
"('55.742032', '37.664285')",0.12226677524754641,3,2,25,32,140,185
"('55.747322', '37.66203')",0.26871594400774457,2,5,23,34,137,190
"('55.735348', '37.659272')",0.25755876124300703,2,6,18,34,141,189
"('55.74894', '37.655148')",0.12750312645250553,2,3,24,35,135,198
"('55.731992', '37.672756')",0.17654562884234404,4,2,23,22,152,169
"('55.733253', '37.644592')",0.3389938744393899,1,2,23,30,147,197
"('55.760834', '37.593444')",0.11546154872110356,2,7,24,34,143,208
"('55.781109', '37.641584')",0.09487530013798665,2,1,22,43,124,205
"('55.8239989', '37.754714')",0.13874530205347702,2,0,13,15,86,126
"('55.740249', '37.650846')",0.2419822062884955,3,4,23,33,142,197
"('55.737137', '37.651322')",0.05926080168502285,2,4,19,35,146,193
"('55.739676', '37.669639')",0.175784341793968,3,3,22,30,144,181
"('55.7811995', '37.6439518')",0.03911668629398452,2,1,24,44,122,207
"('55.801556', '37.609344')",0.15193928920765057,1,0,24,34,148,164
"('55.8053565', '37.6170284')",0.29700292130975553,1,2,19,34,152,157
"('55.803738', '37.61088')",0.042826095918465285,1,0,23,33,153,157
"('55.792007', '37.615785')",0.25255050312438093,2,0,24,38,135,192
"('55.8049325', '37.6134014')",0.17978354895638304,1,0,23,30,157,153
"('55.805084', '37.618004')",0.3197170534590027,1,2,19,34,152,157
"('55.779778', '37.63897')",0.18834385075405036,2,2,23,42,126,205
"('55.77647', '37.59887')",0.07116406044159966,2,4,26,37,130,212
"('55.658129', '37.752975')",0.07700725703901465,3,1,21,24,84,133
"('55.652623', '37.718687')",0.12782217803297174,2,3,20,28,93,152
"('55.662364', '37.779098')",0.07958744843966498,3,1,15,25,73,120
"('55.65498', '37.760494')",0.15841036711779882,3,2,19,23,76,128
"('55.652319', '37.773412')",0.23802989451751844,1,3,16,19,68,120
"('55.663486', '37.76536')",0.0386427518568761,2,5,14,29,79,131
"('55.658642', '37.762929')",0.06176376324182887,2,3,18,25,78,128
"('55.633419', '37.801134')",0.07384068254495885,1,0,5,20,56,95
"('55.651765', '37.769936')",0.22826891145755163,2,3,17,19,70,120
"('55.663658', '37.748687')",0.044187595842841085,3,2,19,26,86,138
"('55.660785', '37.731919')",0.8184407720421383,0,2,23,23,102,139
"('55.664055', '37.753245')",0.1568748412045784,3,3,18,27,87,134
"('55.660654', '37.749933')",0.09580336012569532,2,2,20,25,84,139
"('55.662187', '37.746076')",0.15858999351399897,1,3,19,28,84,142
"('55.660516', '37.774373')",0.0851493118571364,2,1,17,24,76,121
"('55.660008', '37.743332')",0.101032472562429,2,3,21,25,89,137
"('55.660892', '37.747065')",0.09607479163380497,1,3,19,28,84,141
"('55.663568', '37.770537')",0.12028916396589703,3,3,12,29,74,131
"('55.641', '37.65718')",0.08927922382291628,1,2,8,38,106,145
"('55.712234', '37.489509')",0.3279520484441565,1,0,18,32,120,143
"('55.712888', '37.489455')",0.34705829411494554,1,0,18,30,122,143
"('55.704981', '37.501618')",0.1972860638830809,1,4,18,36,112,155
"('55.705067', '37.495518')",0.3522720673635019,1,3,16,35,110,149
"('55.71005', '37.47141')",0.14202435707278674,1,3,15,28,109,142
"('55.710423', '37.476017')",0.23823463245302434,1,0,19,24,117,138
"('55.709596', '37.481603')",0.13497986850688623,1,0,19,31,113,146
"('55.712812', '37.485367')",0.14473466248605166,1,0,19,28,123,139
"('55.708035', '37.478962')",0.16451356799524933,1,0,18,32,108,149
"('55.718872', '37.499893')",0.7299050086612513,0,1,19,30,132,141
"('55.721027', '37.456505')",0.011645234858456824,2,5,12,20,113,138
"('55.695487', '37.485702')",0.28949466638870586,2,3,17,34,103,149
"('55.783817', '37.533867')",0.08015985691441557,2,0,29,31,153,156
"('55.731518', '37.458614')",0.08323464370423107,2,4,14,25,120,149
"('55.72274', '37.46025')",0.20627221867199247,4,4,13,19,121,137
"('55.76739', '37.586094')",0.048311781238785864,2,6,23,34,144,205
"('55.771434', '37.60593')",0.12228308907433065,3,2,27,34,130,218
"('55.769093', '37.601833')",0.040296749613968195,4,5,28,32,135,214
"('55.764992', '37.593722')",0.3576794063286584,4,6,26,30,145,206
"('55.762824', '37.591728')",0.25524673492950317,2,8,25,34,141,210
"('55.7691245', '37.5918648')",0.20771396440579432,3,6,26,32,141,209
"('55.7647383', '37.5928068')",0.37382937096901137,4,5,27,30,146,205
"('55.7748953', '37.6012277')",0.08817960105852961,2,2,28,34,134,209
"('55.765235', '37.598295')",0.1449036679432091,5,5,25,32,141,213
"('55.763913', '37.595465')",0.19613141606143403,3,7,23,34,141,212
"('55.765711', '37.592626')",0.36534277973664386,3,7,25,32,144,206
"('55.767058', '37.591602')",0.22950695689568523,2,7,25,33,142,208
"('55.774092', '37.594683')",0.22551651088610802,1,5,27,32,139,206
"('55.773241', '37.603657')",0.1200206533161692,3,2,29,34,132,214
"('55.767621', '37.5994921')",0.1696833359145461,4,5,25,34,137,215
"('55.774988', '37.60726')",0.1578809730470381,2,1,27,38,129,212
"('55.774527', '37.592195')",0.07118424125626303,3,3,25,36,137,205
"('55.764734', '37.594414')",0.30882408545956425,3,7,25,31,144,208
"('55.882183', '37.706505')",0.10212828454344323,2,2,8,12,63,106
"('55.878091', '37.716252')",0.07062642683443753,2,1,9,9,69,105
"('55.8709917', '37.6883546')",0.21403941774010737,2,3,14,12,85,115
"('55.87263', '37.634216')",0.14773971840880723,3,1,23,22,89,119
"('55.869026', '37.646236')",0.2325584803314097,3,1,22,15,95,118
"('55.875683', '37.72626')",0.18251830063512198,1,1,6,10,63,108
"('55.866783', '37.66743')",0.0739181207499182,3,0,20,12,97,114
"('55.874157', '37.694028')",0.10794215028316793,1,4,10,15,75,111
"('55.868797', '37.63719')",0.1901040539461659,1,5,17,29,84,126
