coords,edu_prof_closest_km,edu_prof_less500m,edu_prof_0.5-1km,edu_prof_1-3km,edu_prof_3-5km,edu_prof_5-10km,edu_prof_10-15km
"('55.6900645', '37.6548865')",1.7327580621932168,0,0,10,5,25,18
"('55.806504', '37.449866')",0.6795777943233466,0,1,3,9,15,19
"('55.715527', '37.477104')",1.438621217497117,0,0,2,1,19,20
"('55.702763', '37.64046')",0.17684489184231011,1,0,11,8,23,22
"('55.700877', '37.622405')",0.8864947173708638,0,1,11,7,21,22
"('55.7220172', '37.6077158')",0.1711778166908462,1,3,7,8,23,23
"('55.828217', '37.462414')",1.105072005516331,0,0,7,7,15,17
"('55.8170545', '37.7545798')",1.3144904378251456,0,0,5,6,18,20
"('55.68153', '37.849888')",5.184093337212692,0,0,0,0,10,23
"('55.853178', '37.608212')",2.716247646001492,0,0,2,8,19,17
"('55.807435', '37.448662')",0.7455424720523322,0,1,4,8,16,18
"('55.7439839', '37.5919617')",0.06184345062486165,1,0,4,11,27,19
"('55.5512278', '37.3356786')",6.534089483014196,0,0,0,0,2,1
"('55.740928', '37.622118')",0.23364234757823385,1,1,10,6,31,16
"('55.741683', '37.601726')",0.5546595947362697,0,1,6,8,30,17
"('55.829598', '37.465955')",1.1511527402238309,0,0,8,6,16,17
"('55.758402', '37.549282')",0.9711201513311579,0,1,4,7,28,16
"('55.756376', '37.54948')",1.1657100434879735,0,0,5,6,28,16
"('55.756771', '37.592725')",1.3200506974199029,0,0,5,11,29,16
"('55.779575', '37.706863')",0.7348745479773603,0,3,8,9,26,16
"('55.828217', '37.462414')",1.105072005516331,0,0,7,7,15,17
"('55.786166', '37.497836')",1.2647246237728813,0,0,7,8,18,24
"('55.699314', '37.511239')",2.0445817312041603,0,0,1,6,14,25
"('55.735175', '37.44064')",0.4989626483574538,1,1,1,2,18,17
"('55.738292', '37.625972')",0.1391844886961576,1,1,10,5,32,15
"('55.807435', '37.448662')",0.7455424720523322,0,1,4,8,16,18
"('55.76447', '37.652958')",0.1957171021334932,1,1,8,10,29,15
"('55.659573', '37.56007')",1.3449192567173636,0,0,3,3,20,12
"('55.76963', '37.47916')",1.3339193362010733,0,0,3,5,22,19
"('55.763194', '37.62572')",1.1177033982977134,0,0,5,13,25,20
"('55.733493', '37.609973')",1.0452241524698742,0,0,12,3,31,17
"('55.806504', '37.449866')",0.6795777943233466,0,1,3,9,15,19
"('55.738262', '37.420177')",0.6138114434134877,0,1,2,1,15,18
"('55.774137', '37.630769')",0.8455982375492169,0,1,5,12,23,22
"('55.759384', '37.602894')",1.6893855942631437,0,0,5,12,28,17
"('55.790975', '37.634182')",0.7463132034116076,0,2,4,15,21,24
"('55.806504', '37.449866')",0.6795777943233466,0,1,3,9,15,19
"('55.768441', '37.62713')",0.7211388849432946,0,1,4,13,25,20
"('55.770157', '37.635998')",1.168141312577557,0,0,5,12,26,19
"('55.73467', '37.616646')",0.6898026849134855,0,2,9,5,31,17
"('55.700444', '37.51071')",2.174508922864276,0,0,1,6,15,24
"('55.754983', '37.647675')",1.2647136850210583,0,0,6,11,26,18
"('55.743923', '37.582655')",0.6148762048468784,0,1,3,12,27,18
"('55.651811', '37.395635')",1.4917508943179127,0,0,1,0,6,8
"('55.729807', '37.62978')",0.6039240911077502,0,1,12,2,31,17
"('55.763194', '37.62572')",1.1177033982977134,0,0,5,13,25,20
"('55.669889', '37.556262')",0.8501690588153761,0,1,3,5,15,21
"('55.817837', '37.464825')",1.1106684834684384,0,0,7,6,17,20
"('55.642133', '37.601385')",1.1152975872412219,0,0,2,7,14,13
"('55.77517', '37.674022')",0.5713027485706328,0,4,5,13,25,19
"('55.747936', '37.599058')",0.6187389645999425,0,1,3,13,26,20
"('55.7952463', '37.6114797')",0.41486729648257026,1,2,7,11,25,20
"('55.776894', '37.630096')",0.9212536597447174,0,1,5,12,23,22
"('55.732012', '37.594054')",1.1332325033127895,0,0,8,6,28,19
"('55.775505', '37.594971')",0.9143800342770156,0,1,8,7,28,17
"('55.709637', '37.591943')",0.183752935403155,1,2,6,8,21,25
"('55.637195', '37.665668')",1.0430784062995258,0,0,3,10,10,20
"('55.7678312', '37.6190593')",0.4886563876681032,1,0,6,9,28,17
"('55.745797', '37.513107')",1.7626687089819224,0,0,2,6,24,18
"('55.885332', '37.389095')",3.0984099602970216,0,0,0,2,8,10
"('55.765205', '37.647486')",0.5021979177442698,0,2,5,12,28,16
"('55.856432', '37.449641')",1.433421144358834,0,0,5,2,15,13
"('55.754303', '37.58563')",1.0572228470196223,0,0,6,9,30,15
"('55.757214', '37.64955')",0.9901027558859812,0,1,7,10,27,17
"('55.674606', '37.568497')",0.39107785420012253,1,1,3,7,16,23
"('55.733802', '37.438906')",0.3155406557102647,1,1,1,2,16,19
"('55.8099435', '37.644094')",1.1826828701333536,0,0,5,11,22,22
"('55.754814', '37.59013')",1.257929296448307,0,0,6,10,30,15
"('55.762733', '37.589745')",1.0945291972821882,0,0,6,9,29,16
"('55.776041', '37.603631')",0.9470076077957622,0,1,8,8,28,17
"('55.829633', '37.470455')",1.3669071778363604,0,0,8,6,16,19
"('55.744941', '37.658886')",0.4974979884880726,1,1,7,11,25,22
"('55.763108', '37.634865')",1.3207119478267109,0,0,6,12,25,20
"('55.811452', '37.632799')",0.8416057424451389,0,1,5,11,22,23
"('55.677209', '37.528163')",0.7483486606059684,0,2,2,3,16,21
"('55.744617', '37.51212')",1.6474914025483307,0,0,2,6,24,18
"('55.765854', '37.63352')",1.2149151154073525,0,0,5,13,24,21
"('55.7417', '37.59354')",0.16582672409701643,1,0,6,8,29,17
"('55.789026', '37.567887')",0.4392308504855383,1,2,7,8,28,15
"('55.717863', '37.442015')",1.0967447693867491,0,0,2,1,14,20
"('55.754801', '37.58455')",0.9696345840232348,0,1,6,9,30,14
"('55.780846', '37.449147')",1.1385676343000883,0,0,2,4,21,16
"('55.734354', '37.446866')",0.7892393227483266,0,2,0,3,18,18
"('55.763187', '37.615112')",1.0069329134060108,0,0,7,11,28,17
"('55.7633955', '37.6147912')",0.9872436575063498,0,1,6,12,27,18
"('55.683112', '37.521803')",0.31899030118194727,1,0,3,3,16,22
"('55.7411641', '37.6230759')",0.2753807899907718,1,1,8,8,29,18
"('55.75506', '37.59004')",1.2396812029474047,0,0,5,11,29,16
"('55.727952', '37.737578')",1.1025572039612836,0,0,4,9,22,21
"('55.88793', '37.617294')",0.6691021780431221,0,1,3,2,14,18
"('55.747966', '37.687102')",0.5554443601612995,0,2,5,15,22,24
"('55.720418', '37.608472')",0.28277600980739764,2,2,8,8,23,23
"('55.75939', '37.598968')",1.6503941675217018,0,0,5,12,28,17
"('55.580742', '37.159881')",7.262440586961899,0,0,0,0,1,1
"('55.762783', '37.590443')",1.1384910962843195,0,0,6,9,29,16
"('55.769479', '37.622738')",0.4339005569611977,1,0,5,11,27,18
"('55.641834', '37.48491')",2.0876788876169527,0,0,1,3,8,17
"('55.755383', '37.596579')",1.347642277608015,0,0,5,12,28,17
"('55.765073', '37.582799')",0.8080546525468969,0,1,5,9,29,16
"('55.789406', '37.569539')",0.43087148926485713,1,2,9,7,29,14
"('55.589147', '37.456388')",4.672756200680064,0,0,0,1,3,11
"('55.68172', '37.49094')",1.660517035522203,0,0,3,1,15,21
"('55.711681', '37.519512')",3.3824278533743137,0,0,0,9,16,24
"('55.780846', '37.449147')",1.1385676343000883,0,0,2,4,21,16
"('55.615765', '37.738006')",0.32066324319368805,1,0,5,3,13,9
"('55.7956', '37.706667')",0.6897742386064354,0,1,10,7,26,16
"('55.707436', '37.784157')",1.0091716374995086,0,0,5,1,25,13
"('55.826554', '37.65028')",0.3156650115170186,1,0,3,10,18,22
"('55.716468', '37.619028')",0.4798618303574575,1,3,8,9,23,24
"('55.664538', '37.473483')",3.048306076647892,0,0,0,4,8,20
"('55.72386', '37.610054')",0.17500618246352445,1,3,7,9,23,25
"('55.7457189', '37.5925871')",0.24681091782220912,1,0,4,11,28,18
"('55.723521', '37.58694')",0.9489569674121473,0,2,7,9,22,24
"('55.74192', '37.598015')",0.3275688543224208,1,0,6,8,29,17
"('55.748589', '37.591351')",0.5704549745965847,0,1,5,11,29,17
"('55.7499998', '37.6990018')",0.7601368599938237,0,1,7,11,26,18
"('55.7515567', '37.7105369')",0.927263660122055,0,1,7,10,25,19
"('55.753235', '37.70709')",0.6966127993231173,0,1,8,9,26,18
"('55.752445', '37.71445')",0.662748647617637,0,1,8,7,28,16
"('55.756072', '37.706128')",0.509757718630245,0,2,8,8,28,15
"('55.745595', '37.704754')",0.444804561141648,1,1,7,9,27,17
"('55.7515567', '37.7105369')",0.927263660122055,0,1,7,10,25,19
"('55.747535', '37.702966')",0.6813678411235594,0,1,7,11,25,19
"('55.773773', '37.687839')",0.3598476538665831,2,1,11,8,29,14
"('55.75527', '37.657806')",1.1396813287418455,0,0,9,10,27,17
"('55.751817', '37.716144')",0.5922188936973418,0,2,7,8,27,17
"('55.7524872', '37.7055563')",0.676315694925092,0,1,8,9,27,17
"('55.749927', '37.704736')",0.8753248898888203,0,1,7,11,25,19
"('55.74342', '37.720467')",0.0271323188258131,1,1,8,7,28,15
"('55.751206', '37.7001934')",0.6384780794629553,0,1,8,10,27,17
"('55.748539', '37.70337')",0.7833570492617381,0,1,7,11,25,19
"('55.788216', '37.671272')",0.22774646768248383,1,0,8,10,24,19
