coords,edu_uni_closest_km,edu_uni_less500m,edu_uni_0.5-1km,edu_uni_1-3km,edu_uni_3-5km,edu_uni_5-10km,edu_uni_10-15km
"('55.707806', '37.67393')",3.274438149882328,0,0,0,1,0,1
"('55.690187', '37.657781')",2.669677162331194,0,0,1,0,1,0
"('55.695611', '37.662371')",2.8009619716661898,0,0,1,0,1,0
"('55.682727', '37.584829')",1.5386700429560178,0,0,1,0,1,0
"('55.686909', '37.593695')",2.230083093249553,0,0,1,0,1,0
"('55.693084', '37.59613')",1.8995029135881842,0,0,1,0,1,0
"('55.678199', '37.596731')",1.7082216562353318,0,0,1,0,1,0
"('55.690256', '37.5530337')",1.0918651577582752,0,0,1,0,1,0
"('55.68701', '37.577678')",1.8463725516935792,0,0,1,0,1,0
"('55.686306', '37.538036')",0.6538484042908662,0,1,0,1,0,1
"('55.702926', '37.580337')",2.466227944977347,0,0,1,0,1,0
"('55.693497', '37.58077')",2.592327145341642,0,0,1,0,1,0
"('55.676164', '37.579259')",0.7304425545680904,0,1,0,1,0,1
"('55.6940437', '37.6040148')",1.4650059204680412,0,0,1,0,1,0
"('55.689162', '37.598286')",2.112178042983449,0,0,1,0,1,0
"('55.679276', '37.57349')",0.9586093888734345,0,1,0,1,0,1
"('55.682194', '37.578738')",1.3397151728677223,0,0,1,0,1,0
"('55.675369', '37.55206')",0.8269537093300425,0,1,0,1,0,1
"('55.683823', '37.577364')",1.4941883929217796,0,0,1,0,1,0
"('55.685675', '37.581379')",1.7582724123576539,0,0,1,0,1,0
"('55.696078', '37.563152')",1.9830779243629533,0,0,1,0,1,0
"('55.684093', '37.597145')",2.0144436694671155,0,0,1,0,1,0
"('55.672763', '37.560529')",0.7814118862155757,0,1,0,1,0,1
"('55.678458', '37.564248')",1.0078749331981016,0,0,1,0,1,0
"('55.67314', '37.57369')",0.2830667962518056,1,0,1,0,1,0
"('55.687193', '37.56388')",1.3580482368265716,0,0,1,0,1,0
"('55.670773', '37.571003')",0.08733887799838373,1,0,1,0,1,0
"('55.673818', '37.565174')",0.5737387140485298,0,1,0,1,0,1
"('55.683798', '37.537883')",0.4257817392530496,1,0,1,0,1,0
"('55.678113', '37.548511')",0.44855443681394913,1,0,1,0,1,0
"('55.677346', '37.565955')",0.847222152785275,0,1,0,1,0,1
"('55.692475', '37.551726')",1.2813288501947386,0,0,1,0,1,0
"('55.678113', '37.548511')",0.44855443681394913,1,0,1,0,1,0
"('55.68665', '37.592644')",2.1686043544990423,0,0,1,0,1,0
"('55.680103', '37.581963')",1.1960585140004545,0,0,1,0,1,0
"('55.68499', '37.595215')",2.120923129336839,0,0,1,0,1,0
"('55.670128', '37.57097')",0.1006527524071101,1,0,1,0,1,0
"('55.69109', '37.542958')",1.0486618931781317,0,0,1,0,1,0
"('55.674477', '37.570007')",0.45064376123199423,1,0,1,0,1,0
"('55.682026', '37.566539')",1.3179487590161643,0,0,1,0,1,0
"('55.691526', '37.538134')",1.1639496158398899,0,0,1,0,1,0
"('55.681265', '37.582403')",1.3240208248443943,0,0,1,0,1,0
"('55.693597', '37.577678')",2.4669111223575695,0,0,1,0,1,0
"('55.692191', '37.562991')",1.6461126125107113,0,0,1,0,1,0
