coords,shops_closest_km,shops_less500m,shops_0.5-1km,shops_1-3km,shops_3-5km,shops_5-10km,shops_10-15km
"('55.688558', '37.468398')",0.0070618944987479336,24,40,1334,2207,13159,20748
"('55.689065', '37.471381')",0.06885541242801348,22,37,1366,2284,13287,20943
"('55.699393', '37.468928')",0.06991207200691714,38,82,871,2680,13197,21689
"('55.6988776', '37.4683463')",0.002145351280159578,39,48,899,2649,13227,21615
"('55.694214', '37.487469')",0.004585548620932766,24,135,1127,2778,14500,21095
"('55.688453', '37.469392')",0.004366821608245105,24,37,1379,2168,13332,20618
"('55.692993', '37.501205')",0.156010126112904,36,164,1266,2889,15882,20915
"('55.69243', '37.49232')",0.07345511831055052,64,114,1299,2663,14983,21111
"('55.692648', '37.496704')",0.0559548838615279,46,129,1348,2727,15380,21092
"('55.6979', '37.49557')",0.08758936134894756,111,123,1134,3331,14803,21890
"('55.682011', '37.495923')",0.18510298808462827,35,146,1857,2203,15187,20010
"('55.69639', '37.494827')",0.006901719744998964,116,116,1174,2959,14993,21590
"('55.6911051', '37.4940774')",0.0856946070321247,60,112,1361,2671,15117,21034
"('55.68659', '37.485134')",0.22404920105304035,39,39,1751,2186,14791,20008
"('55.687832', '37.494656')",0.2605097913439257,34,64,1793,2265,15221,20441
"('55.69319', '37.503651')",0.0018209014627998464,29,162,1268,2919,16139,20908
"('55.687817', '37.493093')",0.24013673719993506,37,61,1810,2244,15183,20384
"('55.688558', '37.468398')",0.0070618944987479336,24,40,1334,2207,13159,20748
"('55.6951902', '37.487787')",0.10757914759687263,20,149,1129,2864,14429,21604
"('55.695487', '37.485702')",0.045481540881162685,15,144,1099,2530,14735,20956
"('55.679432', '37.46964')",0.036867313572138766,142,49,1344,1684,13542,19149
"('55.685158', '37.480516')",0.10168053640626912,7,63,1524,2253,14159,20188
"('55.769909', '37.484217')",0.004712974035356652,26,183,1045,3842,14035,23547
"('55.770142', '37.47368')",0.02713939996039516,14,118,856,3929,13241,22151
"('55.773044', '37.46494')",0.010540254827479788,29,102,667,3482,12891,21238
"('55.76919', '37.472675')",0.09881925373204753,14,80,798,3888,12891,22356
"('55.770142', '37.47368')",0.02713939996039516,14,118,856,3929,13241,22151
"('55.769974', '37.48298')",0.00526858230278081,25,191,1013,3869,13920,23379
"('55.775692', '37.464268')",0.0058027060611569505,64,94,745,3318,13326,20861
"('55.77271', '37.463942')",0.05432480225526261,19,97,619,3527,12754,21119
"('55.769043', '37.470842')",0.01283641365959658,10,50,768,3893,12696,22180
"('55.77393', '37.47039')",0.1598237754552108,42,175,784,3440,13600,21263
"('55.77474', '37.469368')",0.0784501630782703,57,156,780,3324,13725,21033
"('55.777758', '37.457987')",0.028620555992937214,59,80,745,3377,12839,19389
"('55.80244', '37.41213')",0.08864899760506602,74,92,316,2012,9636,13508
"('55.770664', '37.472791')",0.09957511564862812,17,139,823,3917,13346,21979
"('55.781337', '37.451267')",0.033790761441508194,13,108,684,2189,13846,17620
"('55.773768', '37.469009')",0.18784337683696126,40,159,713,3445,13515,21245
"('55.770375', '37.489859')",0.11755455325992313,44,148,1124,3856,14260,23768
"('55.785078', '37.464886')",0.04451063578679447,54,149,949,2801,14480,18609
"('55.785078', '37.464886')",0.04451063578679447,54,149,949,2801,14480,18609
"('55.775646', '37.459505')",0.10790885457817094,64,76,684,3334,12730,19586
"('55.775646', '37.459505')",0.10790885457817094,64,76,684,3334,12730,19586
"('55.781337', '37.451267')",0.033790761441508194,13,108,684,2189,13846,17620
"('55.7895917', '37.4757329')",0.0036114207786046627,44,95,1272,2760,15502,18504
"('55.738728', '37.491521')",0.07158450926514243,101,719,1003,3526,16382,21996
"('55.932412', '37.387076')",0.05954511986340503,11,1,29,97,2914,6899
"('55.901697', '37.388313')",0.00345994799889653,25,38,93,153,5135,6056
"('55.894672', '37.390335')",0.08642735240750235,28,45,125,481,5213,7052
"('55.900749', '37.395931')",0.026352553102061495,13,55,75,394,5315,6683
"('55.892718', '37.400557')",0.06843501492051206,14,88,82,597,5994,6866
"('55.883176', '37.387442')",0.30301261401100693,3,27,168,1674,4693,8394
"('55.892718', '37.400557')",0.06843501492051206,14,88,82,597,5994,6866
"('55.8869013', '37.3890556')",0.25389934700407846,29,22,160,1487,4905,7985
"('55.88972', '37.398985')",0.1949475082650537,11,85,85,911,5927,7427
"('55.892718', '37.400557')",0.06843501492051206,14,88,82,597,5994,6866
"('55.73186', '37.40628')",0.08187040076910392,29,208,1048,1032,7564,20416
"('55.735245', '37.414238')",0.11405546841294713,182,209,982,1249,8456,20295
"('55.739433', '37.417545')",0.12422320682073429,299,114,1083,1184,8900,20351
"('55.740421', '37.39709')",0.0720545665621351,12,132,940,782,6835,19461
"('55.760414', '37.40652')",0.06864126845960684,114,111,703,1064,8859,18199
"('55.7383822', '37.4025433')",0.2023853625828715,14,292,836,1156,7335,20039
"('55.728819', '37.409451')",0.009577976340224273,41,103,1116,1110,8168,20333
"('55.735676', '37.41581')",0.004346594118700103,178,225,967,1268,8660,20248
"('55.7367235', '37.4186826')",0.004946102928537059,84,340,866,1424,8769,20331
"('55.732124', '37.427723')",0.02968479030556797,17,141,1066,1902,9090,22090
"('55.742438', '37.429869')",0.0012643750448269474,48,202,992,2223,9244,21833
"('55.755738', '37.403324')",0.049207659811801745,131,85,808,904,8604,18492
"('55.743512', '37.422099')",0.0814209291763498,150,247,868,1677,8803,20736
"('55.761766', '37.40866')",0.00510726721698868,103,130,685,1268,9026,18306
"('55.736164', '37.407654')",0.0618171703413414,136,241,915,1159,8025,19886
"('55.738243', '37.418415')",0.17173811934361377,317,104,1108,1145,8967,20125
"('55.733208', '37.4052')",0.09807344964546742,17,207,950,1083,7393,20337
"('55.72926', '37.421713')",0.1336856513262906,44,107,1175,1203,9203,21153
"('55.737948', '37.416314')",0.07516470558427828,305,95,1115,1112,8784,20076
"('55.745351', '37.685674')",0.143712415364642,104,48,1982,6434,16906,24103
"('55.745351', '37.685674')",0.143712415364642,104,48,1982,6434,16906,24103
"('55.743147', '37.683769')",0.09879845991252104,98,92,3118,5112,18277,22998
"('55.738971', '37.685512')",0.10071012190670388,25,171,2987,5159,19131,22523
"('55.738323', '37.687704')",0.07651566657197909,23,161,3060,4974,19344,22049
"('55.740013', '37.68765')",0.0076693430541557904,23,164,3076,4975,19216,22162
"('55.740013', '37.68765')",0.0076693430541557904,23,164,3076,4975,19216,22162
"('55.73961', '37.688944')",0.0908664234833159,23,159,3062,4899,19282,21955
"('55.742103', '37.68897')",0.0525386443410294,17,147,3035,4996,18328,22692
"('55.747966', '37.687102')",0.03464082592551803,32,128,1806,6677,16557,24471
"('55.7453', '37.70232')",0.15209788968184518,269,83,1776,5436,17571,22232
"('55.743988', '37.686545')",0.09962576315431011,98,66,3097,5179,18017,23049
"('55.748356', '37.571545')",0.03068780297940644,53,617,2171,5268,20117,22775
"('55.744064', '37.67378')",0.14985753460813075,106,162,3537,5096,19159,22788
"('55.635371', '37.671849')",0.09268694310786613,63,123,666,4368,13757,17159
"('55.870445', '37.53747')",0.009328907586149671,44,204,1267,3879,10692,14079
"('55.867869', '37.526941')",0.003860029718828305,29,82,1449,3364,11834,13029
"('55.8539585', '37.5058702')",0.22917982823732327,40,87,1783,3086,12876,13478
"('55.843363', '37.489143')",0.01660969176931869,425,140,2133,2847,12584,13987
"('55.880945', '37.54118')",0.0019410991845844672,78,144,1542,2870,9874,12458
"('55.78685', '37.614509')",0.07281866309773342,31,233,3048,4313,20180,22743
"('55.856124', '37.555723')",0.05783271716034311,90,126,1365,3349,12648,15110
"('55.857158', '37.627687')",0.29279846477071053,15,95,1777,3036,12588,15119
"('55.8738384', '37.5390459')",0.002535469992065989,41,171,1374,3662,10477,13810
"('55.866576', '37.532682')",0.11816185426790753,47,146,1321,3785,11675,13588
"('55.8715345', '37.5395432')",0.12100320719806484,45,229,1304,3849,10581,14079
"('55.869359', '37.527633')",0.029802925104191327,29,123,1407,3275,11770,13012
"('55.868748', '37.535475')",0.10221254119938378,44,171,1323,3842,11267,13784
"('55.8768038', '37.5354543')",0.0879062281480334,51,210,1357,3421,10511,12703
"('55.86798', '37.528046')",0.070433620335685,31,76,1438,3247,11964,12917
"('55.800003', '37.411564')",0.23950100457450757,45,128,268,1737,9946,13336
"('55.817603', '37.395239')",0.01807192230867916,19,36,601,2297,6887,13421
"('55.803231', '37.347476')",0.05407716364860731,17,0,113,910,5566,9250
"('55.812332', '37.402201')",0.1579536846038036,31,107,451,2243,7591,14327
"('55.806135', '37.421686')",0.15402736007793386,33,41,870,2046,10539,13606
"('55.804283', '37.405848')",0.06836508502663853,85,155,310,2034,9080,13379
"('55.803231', '37.347476')",0.05407716364860731,17,0,113,910,5566,9250
"('55.814988', '37.394098')",0.0920028255263541,21,44,560,2084,7192,13143
"('55.808892', '37.404213')",0.13922906708921517,58,123,406,2114,8475,13649
"('55.806408', '37.395832')",0.047377376604552164,54,128,318,1978,8453,12529
"('55.808852', '37.397099')",0.09579231454499697,83,80,382,2151,7825,13243
"('55.817603', '37.395239')",0.01807192230867916,19,36,601,2297,6887,13421
"('55.803231', '37.347476')",0.05407716364860731,17,0,113,910,5566,9250
"('55.817603', '37.395239')",0.01807192230867916,19,36,601,2297,6887,13421
"('55.816915', '37.395293')",0.059101251325402046,19,39,589,2256,6948,13463
"('55.67269', '37.620266')",0.05436131763103467,24,169,2819,4066,20673,19856
"('55.68057', '37.651512')",0.1281583451168931,43,266,1457,6283,17557,22649
"('55.66965', '37.611482')",0.003485587880103549,33,59,2900,3504,19802,20240
"('55.66965', '37.611482')",0.003485587880103549,33,59,2900,3504,19802,20240
"('55.669518', '37.628882')",0.003830735862169485,41,405,2487,4127,20070,19911
"('55.67868', '37.652912')",0.005050883563869546,36,276,1308,6348,17348,22541
"('55.68128', '37.646363')",0.1297638058614199,72,57,1792,6079,17954,22395
"('55.673519', '37.596435')",0.00195998046536236,38,994,2439,4017,19561,21080
"('55.669554', '37.588871')",0.0068607590578845514,954,99,3448,3055,19588,20220
"('55.673179', '37.597396')",0.06979577835387073,38,1012,2414,4130,19398,21175
"('55.672935', '37.51761')",0.17576682601120736,43,254,2138,3406,16019,21909
"('55.783524', '37.467096')",0.1560665910385974,58,225,882,2967,14424,18939
"('55.78282', '37.473465')",0.18284996444223722,55,204,822,3589,14226,20815
"('55.775211', '37.484478')",0.0812024386423531,89,151,1126,3534,14542,22386
"('55.782775', '37.47881')",0.1464104997557762,78,174,990,3399,14750,21125
"('55.782972', '37.475701')",0.142237323780427,90,158,902,3482,14500,20891
"('55.7807015', '37.468725')",0.045159106603151165,46,252,660,3484,13813,20948
"('55.7807015', '37.468725')",0.045159106603151165,46,252,660,3484,13813,20948
"('55.77636', '37.496569')",0.0013480660217498551,50,83,1701,3291,15311,23006
"('55.7799454', '37.4858997')",0.10663599915505748,85,150,1478,3372,14968,22029
"('55.785215', '37.456136')",0.1306499308104922,47,106,924,2611,13757,17855
"('55.786774', '37.46856')",0.19998798101515367,66,108,1064,2937,14663,18681
"('55.778674', '37.476258')",0.10101860351427171,112,168,967,3187,14400,21175
"('55.7807015', '37.468725')",0.045159106603151165,46,252,660,3484,13813,20948
"('55.785073', '37.459774')",0.12691054653905062,58,140,935,2727,13948,18645
"('55.793677', '37.455732')",0.042938333977087295,13,29,1023,2782,13675,16605
"('55.784267', '37.468452')",0.04512329507379772,65,200,950,2934,14572,18849
"('55.785053', '37.471911')",0.012231342890064584,73,148,1063,2996,15042,18641
"('55.781927', '37.46363')",0.002196183291120623,82,146,748,2692,14421,18751
"('55.781927', '37.46363')",0.002196183291120623,82,146,748,2692,14421,18751
"('55.774325', '37.470545')",0.11522718869936831,42,185,776,3425,13619,21266
"('55.780213', '37.471623')",0.015087444759404713,53,240,711,3434,13989,21129
"('55.773201', '37.463484')",0.07792776644395184,19,108,638,3499,12815,21020
"('55.781443', '37.481567')",0.012559625942154129,85,176,1095,3356,14842,21473
"('55.7847649', '37.4665621')",0.12171272101164488,65,172,959,2841,14616,18624
"('55.771864', '37.492689')",0.006270715206952866,73,120,1277,3707,14562,23782
"('55.781927', '37.46363')",0.002196183291120623,82,146,748,2692,14421,18751
"('55.780846', '37.449147')",0.06249213035057222,9,87,554,2335,13434,17459
"('55.781701', '37.485996')",0.10516112561736729,42,201,1464,3327,15247,21836
"('55.78035', '37.450027')",0.05037765402120802,7,104,583,2383,13391,17506
"('55.78115', '37.453594')",0.11617319482369164,48,74,754,2429,13814,18188
"('55.780712', '37.472054')",0.012531414963089791,77,213,745,3474,14136,21014
"('55.672255', '37.577238')",0.0019445816715725095,879,192,3024,3412,18974,21410
"('55.657795', '37.597286')",0.11452815034905965,44,321,2480,3552,18232,18800
"('55.669752', '37.592402')",0.08441164572885103,131,909,2523,3939,18903,21030
"('55.672255', '37.577238')",0.0019445816715725095,879,192,3024,3412,18974,21410
"('55.712426', '37.392706')",0.12514763915539423,22,56,564,910,7162,16332
"('55.71408', '37.3954')",0.004698889104006189,28,79,711,819,7621,16886
"('55.719994', '37.391106')",0.19654520100120274,14,119,825,698,7093,17592
"('55.715973', '37.389553')",0.04714756801972275,17,59,689,787,7153,16406
"('55.714024', '37.396407')",0.05857057481597989,21,89,705,870,7589,17040
"('55.72834', '37.720438')",0.17642295447401313,19,249,2361,4163,17631,20697
"('55.72834', '37.720438')",0.17642295447401313,19,249,2361,4163,17631,20697
"('55.729012', '37.7373')",0.05890480768125454,227,68,1351,4313,16351,19951
"('55.716742', '37.732018')",0.27327308270729217,26,143,1502,4776,15669,21357
"('55.726041', '37.745654')",0.0014151295436274911,42,193,1149,4438,15432,19175
"('55.728859', '37.739546')",0.05693717008510457,141,163,1276,4384,16093,20019
"('55.727474', '37.736286')",0.0879357919868288,227,72,1363,4289,16384,20128
"('55.726483', '37.747668')",0.06643226376573226,44,178,1218,4446,15192,19284
"('55.718542', '37.746768')",0.0023730048712849033,29,81,1385,4292,15192,19233
"('55.724353', '37.74101')",0.16699334978311225,25,287,1111,4502,15631,19665
"('55.7027648', '37.7817378')",0.005435310514282244,46,151,1293,2272,12324,17917
"('55.712071', '37.760827')",0.09682569738359839,27,181,1296,2742,14685,18585
"('55.726918', '37.737758')",0.0044198323169167605,134,165,1294,4349,16195,19988
"('55.721727', '37.735131')",0.23129144423054987,12,302,1038,4607,15786,21182
"('55.717731', '37.734093')",0.17418435874341048,24,64,1372,4622,15648,21178
"('55.718903', '37.7388')",0.08512398034286184,19,74,1368,4315,15706,20255
"('55.727474', '37.736286')",0.0879357919868288,227,72,1363,4289,16384,20128
"('55.73296', '37.717115')",0.10839026495357472,31,169,2549,4255,17882,20486
"('55.72817', '37.738764')",0.080592966813599,167,133,1298,4365,16025,20127
"('55.726041', '37.745654')",0.0014151295436274911,42,193,1149,4438,15432,19175
"('55.726041', '37.745654')",0.0014151295436274911,42,193,1149,4438,15432,19175
"('55.728004', '37.734947')",0.0983889833765444,225,73,1341,4322,16391,20215
"('55.72642', '37.741413')",0.09446690330228516,37,272,1033,4635,15519,19565
"('55.729224', '37.738252')",0.06800028720835712,227,71,1361,4307,16235,20000
"('55.728004', '37.734947')",0.0983889833765444,225,73,1341,4322,16391,20215
"('55.612017', '37.411121')",0.08335331580728052,14,43,809,1557,5728,11636
"('55.750738', '37.682323')",0.045232446039913846,22,144,1927,6102,16921,24148
"('55.666127', '37.508589')",0.1272442269407061,140,147,2114,3427,14331,20887
"('55.673783', '37.50434')",0.040557038846289126,127,92,1849,2954,15208,20179
"('55.673046', '37.51035')",0.15757836337962056,112,146,2324,3158,15502,21069
"('55.667061', '37.507699')",0.13538986020586782,131,194,2065,3488,14327,20876
"('55.6737', '37.538063')",0.0037765480017609415,35,334,2725,3147,17325,22530
"('55.667061', '37.507699')",0.13538986020586782,131,194,2065,3488,14327,20876
"('55.680641', '37.51644')",0.09130103861397373,35,158,2089,3292,16733,21347
"('55.686726', '37.538943')",0.11288187350864191,111,391,1688,3989,19551,20920
"('55.673126', '37.5131')",0.11766855897351329,65,206,2266,3250,15923,21278
"('55.67047', '37.509308')",0.18556404894912865,46,302,2157,3340,15006,20997
"('55.666858', '37.518812')",0.09668925085047078,70,208,2184,3293,15541,21294
"('55.658813', '37.493156')",0.11229544162686994,33,367,1247,3638,12428,19924
"('55.677275', '37.53738')",0.024316305124646557,63,193,2146,3812,17152,22834
"('55.671377', '37.513565')",0.1288088988848404,54,312,2057,3470,15603,21586
"('55.672636', '37.514724')",0.13569094400513848,45,286,2080,3445,15864,21524
"('55.669569', '37.507672')",0.1635252844226689,43,310,1999,3567,14577,20794
"('55.67694', '37.539266')",0.10167379114311902,56,195,2880,3055,19345,20807
"('55.673783', '37.50434')",0.040557038846289126,127,92,1849,2954,15208,20179
"('55.6588197', '37.4942433')",0.10710879962786414,33,369,1258,3652,12435,20030
"('55.674996', '37.530732')",0.08299123091678068,63,119,1973,3891,16390,22970
"('55.669711', '37.513431')",0.04774182787950481,73,279,2149,3368,15401,21194
"('55.673126', '37.5131')",0.11766855897351329,65,206,2266,3250,15923,21278
"('55.660362', '37.51678')",0.06880467776408832,77,156,2035,3718,14082,21378
"('55.6718818', '37.5090102')",0.07413864084732415,108,236,2206,3293,15160,20984
"('55.682808', '37.531478')",0.24000065333657394,77,200,2015,3599,17734,21771
"('55.677895', '37.535763')",0.11385682340560016,77,114,2053,3801,16988,22864
"('55.752186', '37.83015')",0.08026669485809629,24,336,951,1861,8111,14051
"('55.74846', '37.818634')",0.08418520615269068,318,65,1397,1538,11176,12638
"('55.779433', '37.827634')",0.06702198186879889,38,57,828,2192,6575,15792
"('55.748837', '37.811672')",0.22227867130869997,84,340,1020,2036,11442,13834
"('55.739693', '37.862778')",0.0646079100908731,155,95,644,1672,6508,11490
"('55.778664', '37.834938')",0.1871275809410873,39,57,503,2346,6240,14802
"('55.781484', '37.832836')",0.11777883811302238,32,28,785,2036,6477,14637
"('55.74152', '37.82997')",0.16082126839251792,35,127,1251,1716,9686,12176
"('55.742966', '37.80091')",0.041819481170738776,30,46,1500,1906,13122,13688
"('55.74059', '37.85056')",0.004158886231377991,32,133,960,1785,7049,12686
"('55.7564', '37.80276')",0.08325713426058996,38,131,1133,2124,11380,15409
"('55.75703', '37.795268')",0.1267531315680178,78,130,1075,2407,11323,16394
"('55.743928', '37.874464')",0.011967237782268408,83,101,284,1649,5462,11484
"('55.739693', '37.862778')",0.0646079100908731,155,95,644,1672,6508,11490
"('55.740036', '37.83068')",0.13565915137460893,48,108,1292,1712,9728,11948
"('55.73862', '37.851765')",0.07923341723247111,66,107,986,1724,7114,12565
"('55.75447', '37.80233')",0.16214378609777252,38,171,1093,2150,11475,15266
"('55.76648', '37.825417')",0.07759916357654963,56,133,770,1948,7727,15621
"('55.74824', '37.816396')",0.002777323524463197,198,184,1272,1726,11312,13282
"('55.779201', '37.826538')",0.07754405801113748,39,56,969,2058,6751,15760
"('55.760287', '37.800353')",0.2572605401424499,53,77,1097,2187,11165,15988
"('55.749817', '37.821426')",0.11557659998141913,319,70,1365,1533,10752,12296
"('55.73973', '37.827213')",0.06664391965242031,45,112,1288,1753,9883,12664
"('55.751015', '37.82565')",0.06104460328299127,270,123,1181,1721,9940,12673
"('55.782233', '37.835692')",0.01401744001361741,14,33,554,2241,6146,14627
"('55.772279', '37.834183')",0.08999987352160507,78,136,674,2106,6980,14453
"('55.75541', '37.79994')",0.13409456003778333,45,123,1135,2202,11421,15731
"('55.770011', '37.833491')",0.060584979035705505,99,112,676,1913,7241,14698
"('55.77792', '37.820385')",0.3236600662867155,31,44,1202,1904,7149,16298
"('55.754604', '37.80311')",0.1779546640206615,37,206,1056,2172,11431,15240
"('55.738505', '37.869343')",0.17386862624087251,61,166,438,1697,5622,11941
"('55.757364', '37.806901')",0.07028690260018224,25,230,1033,2120,11155,14488
"('55.743404', '37.862354')",0.0553493406292409,145,70,719,1519,6667,11353
"('55.734461', '37.85073')",0.1330908693358459,54,83,1213,1525,7209,12501
"('55.73688', '37.847927')",0.0012760765097595383,38,109,1134,1706,7217,12767
"('55.773682', '37.820457')",0.04736362021904084,28,148,1120,2000,7469,16415
"('55.73665', '37.84676')",0.030043791297851664,26,123,1130,1729,7225,12864
"('55.765764', '37.8266485')",0.13442874857829992,91,106,776,1900,7746,15140
"('55.7387466', '37.8320931')",0.0731929534413166,100,62,1328,1710,9536,12013
"('55.745022', '37.87043')",0.006303236250542277,123,67,385,1566,6018,11205
"('55.73815', '37.86715')",0.1411311824500309,92,145,479,1706,5686,12062
"('55.740527', '37.85559')",0.1277895010291321,78,158,823,1730,6857,12111
"('55.7254379', '37.8614816')",0.07578458290778349,6,20,1211,1431,5753,12835
"('55.738525', '37.834462')",0.0567490452671442,60,97,1254,1776,9325,11853
"('55.7254379', '37.8614816')",0.07578458290778349,6,20,1211,1431,5753,12835
"('55.7315', '37.85038')",0.0212125084061526,28,55,1206,1598,6716,12989
"('55.740892', '37.630239')",0.009625426769254868,155,106,3157,6807,19012,26338
"('55.73555', '37.637596')",0.0016073800038290842,69,421,2555,7392,18240,27015
"('55.742093', '37.616378')",0.003492958578059104,65,199,3040,6665,18971,26379
"('55.740436', '37.626088')",0.007992029942261142,147,151,3185,6529,19114,26211
"('55.74114', '37.619205')",0.07729626250292967,63,242,3061,6533,19313,26121
"('55.74471', '37.635912')",0.17407238221384877,61,149,3174,6643,18872,25958
"('55.740928', '37.622118')",0.043661703647710756,96,214,3202,6454,19359,25802
"('55.643983', '37.343532')",0.006470085829859051,94,151,577,946,3943,8486
"('55.636001', '37.311238')",0.11496940096213501,11,60,525,640,2678,7287
"('55.625339', '37.312526')",0.022411083029297306,80,16,669,617,2615,6945
"('55.603458', '37.3770532')",0.2470132816977105,11,25,610,1551,4544,9781
"('55.626594', '37.343919')",0.11330299998416686,15,5,966,1029,3621,7816
"('55.661176', '37.368092')",0.20083875542026014,1,2,706,616,6450,9159
"('55.6030912', '37.3769706')",0.21713868275311263,11,25,611,1504,4582,9705
"('55.603919', '37.358633')",0.029809720242977202,81,86,522,1165,3732,8213
"('55.5322084', '37.4568026')",0.007672371004741147,6,44,231,791,3179,8158
"('55.607799', '37.41343')",0.061616813160845066,20,32,523,1612,5686,11547
"('55.65532', '37.398024')",0.10402828136978146,91,111,688,1581,7657,12731
"('55.94631', '37.343082')",0.14311916691847332,14,4,20,10,496,6065
"('55.947304', '37.34489')",0.12614288936887835,15,3,25,5,453,6108
"('55.779975', '37.615722')",0.00909092703761512,28,216,3443,4067,19896,24037
"('55.779975', '37.615722')",0.00909092703761512,28,216,3443,4067,19896,24037
"('55.757214', '37.64955')",0.11073282651268967,57,353,2891,5343,18369,25286
"('55.769271', '37.604996')",0.007096555396796799,100,408,3015,5361,18906,26418
"('55.729224', '37.738252')",0.06800028720835712,227,71,1361,4307,16235,20000
"('55.623342', '37.491817')",0.25291211476383607,3,79,1439,2303,12091,13856
"('55.676519', '37.539715')",0.0850741207177352,41,200,2976,3008,19341,20826
"('55.678879', '37.541036')",0.21588309102507172,57,230,2867,3085,19674,20497
"('55.672448', '37.563629')",0.1558159404944939,37,488,2476,3718,18517,21574
"('55.679306', '37.571201')",0.010118073714744494,86,199,2810,3609,19305,21849
"('55.65885', '37.56918')",0.08752322499324067,76,94,2708,3657,16402,21417
"('55.676813', '37.5738129')",0.21670224422105563,37,1125,1832,4549,18144,22848
"('55.668655', '37.537523')",0.03592522011760807,30,343,2106,3765,16274,23217
"('55.6706116', '37.5612752')",0.11635575675077646,142,384,2548,3696,18122,21696
"('55.672255', '37.577238')",0.0019445816715725095,879,192,3024,3412,18974,21410
"('55.671529', '37.474821')",0.03458487076581928,37,250,1289,2684,12797,19082
"('55.659286', '37.465084')",0.20679172523471304,9,59,1298,2742,11300,16697
"('55.680118', '37.451564')",0.018005478814244802,67,60,1133,1980,11903,18853
"('55.681006', '37.45292')",0.013706913294091882,67,144,1038,2105,11822,19178
"('55.6605794', '37.4535896')",0.061063044864242154,4,19,1194,2230,11174,15580
"('55.655361', '37.4702882')",0.03237039350019758,18,115,1258,3196,11705,17717
"('55.681006', '37.45292')",0.013706913294091882,67,144,1038,2105,11822,19178
"('55.664329', '37.466009')",0.11331954712124397,39,299,1200,2870,11009,19594
"('55.675433', '37.444889')",0.15965219236380415,70,109,963,2230,10741,17123
"('55.658484', '37.471345')",0.014946210941569402,18,381,1126,3382,11702,18235
"('55.657795', '37.466908')",0.005669363109561437,16,88,1281,2785,11465,17836
"('55.66164', '37.41553')",0.03266995001527882,42,88,693,2087,8085,14484
"('55.667879', '37.470554')",0.08624002170858798,47,373,1214,2717,11532,19738
"('55.662222', '37.474318')",0.11523239444719997,311,126,1465,2869,12077,18870
"('55.669933', '37.475807')",0.04009210357161544,17,438,1120,3319,11874,19862
"('55.663832', '37.474641')",0.23507149065249322,346,90,1490,2952,11902,19206
"('55.667457', '37.454573')",0.10834508165919537,19,128,1099,2262,11132,17053
"('55.663832', '37.474641')",0.23507149065249322,346,90,1490,2952,11902,19206
"('55.659603', '37.485905')",0.15482957915928888,299,136,1427,3414,12174,19323
"('55.659348', '37.472989')",0.06332603254151338,20,416,1155,3097,12153,18082
"('55.672052', '37.473456')",0.13808406302162873,48,195,1323,2492,12656,19197
"('55.673199', '37.454932')",0.20240812743518752,46,240,948,2358,11313,18675
"('55.678944', '37.44648')",0.07531885054852494,43,117,979,1964,11485,17325
"('55.844111', '37.576852')",0.05438679923089374,42,164,1413,3006,15325,15229
"('55.843495', '37.555723')",0.0073487927817380595,21,60,1212,3904,14032,15835
"('55.840029', '37.582586')",0.016000678719448956,90,75,1228,3615,15821,16745
"('55.847442', '37.564967')",0.06870957642437338,30,84,1270,3307,14346,15120
"('55.84587', '37.55371')",0.10854382195628855,14,52,1239,3741,13684,15876
"('55.843869', '37.566611')",0.16768112250103534,50,137,1228,3497,14761,15204
"('55.8430528', '37.5664976')",0.18992024135898672,48,140,1228,3489,14908,15156
"('55.842105', '37.569045')",0.0017759977600970754,57,133,1163,3389,15210,15472
"('55.724773', '37.774499')",0.049631252111503175,55,95,1496,2562,14629,16778
"('55.727562', '37.776817')",0.09148845908943105,48,56,1521,2358,14758,16326
"('55.724773', '37.774499')",0.049631252111503175,55,95,1496,2562,14629,16778
"('55.725138', '37.775272')",0.07363974396416553,54,96,1517,2543,14644,16396
"('55.708576', '37.794262')",0.17194577239817257,17,204,1211,2668,11272,17069
"('55.724773', '37.774499')",0.049631252111503175,55,95,1496,2562,14629,16778
"('55.813723', '37.799328')",0.003746803808320861,224,171,1520,977,6967,16597
"('55.72259', '37.611813')",0.0015219239773398762,88,185,2375,6387,19222,25736
"('55.71821', '37.60825')",0.006636107596718736,50,219,2275,5897,19671,25172
"('55.7373538', '37.6155562')",0.020073371991519966,81,167,2843,6821,19189,26453
"('55.726142', '37.608185')",0.0013169191564901545,74,136,2460,6648,18974,26103
"('55.72164', '37.606658')",0.0877404113570829,88,113,2437,5973,19350,25454
"('55.72386', '37.610054')",0.06064601809006507,74,164,2388,6434,19022,26016
"('55.7349671', '37.6124637')",0.027188695482489676,88,122,2970,6493,19363,26106
"('55.7162154', '37.6139228')",0.026537459815745644,69,383,2545,6053,19431,25664
"('55.792625', '37.50645')",0.2436141170614614,30,189,1977,2878,16987,21012
"('55.809378', '37.456882')",0.12460607638057561,229,55,1546,2776,13276,15077
"('55.782497', '37.47269')",0.141639385713658,55,227,781,3664,14090,20890
"('55.7992799', '37.4686817')",0.024232964673763856,10,91,1209,3387,13921,16620
"('55.789907', '37.496318')",0.04742657265625361,94,124,2138,2009,17215,20236
"('55.810642', '37.452194')",0.10204386936229107,17,254,784,3317,12038,15670
"('55.811346', '37.405247')",0.09954340794088802,38,127,433,2272,8281,14160
"('55.805346', '37.417958')",0.01949911411853916,38,80,786,1916,10129,13684
