coords,descr,geoData,obj_type
"[55.539927, 37.561796]","квартальная тепловая станция радиоцентр-4краснолиманская ул., 19б",POINT (55.539927 37.561796),thermal
"[55.506978, 37.559354]","квартальная тепловая станция щербинкановостроевская улица, 2",POINT (55.506978 37.559354),thermal
"[55.816389, 37.594444]","квартальная тепловая станция «миит»добролюбова улица, 18",POINT (55.816389 37.594444),thermal
"[55.754722, 37.511944]","квартальная тепловая станция №11заречная улица, 4",POINT (55.754722 37.511944),thermal
"[55.668264, 37.626936]","квартальная тепловая станция №17каширское шоссе, 4к2",POINT (55.668264 37.626936),thermal
"[55.668728, 37.619445]","квартальная тепловая станция №18криворожская улица, 4а",POINT (55.668728 37.619445),thermal
"[55.734338, 37.494769]","квартальная тепловая станция №24кожиной василисы улица, 21",POINT (55.734338 37.494769),thermal
"[55.731389, 37.462778]","квартальная тепловая станция №26кастанаевская ул., д. 47",POINT (55.731389 37.462778),thermal
"[55.814648, 37.727381]","квартальная тепловая станция №28бойцовая ул., д. 24",POINT (55.814648 37.727381),thermal
"[55.80814, 37.720434]","квартальная тепловая станция №42гражданская 4-я ул., д. 41",POINT (55.80814 37.720434),thermal
"[55.812479, 37.651062]","квартальная тепловая станция №44маломосковская ул., д. 20",POINT (55.812479 37.651062),thermal
"[55.662671, 37.607255]","квартальная тепловая станция №54фруктовая улица, 22к1",POINT (55.662671 37.607255),thermal
"[55.659722, 37.355278]","квартальная тепловая станция №58лазенки 6-я ул., 40 ",POINT (55.659722 37.355278),thermal
"[55.740556, 37.476389]","котельная №60 фгуп им. хруничевафилевская б. улица, 41а",POINT (55.740556 37.476389),boiler
"[55.819983, 37.631395]","квартальная тепловая станция №8цандера улица, 14",POINT (55.819983 37.631395),thermal
"[55.537521, 37.573545]","квартальная тепловая станция мелитопольская2-я мелитопольская улица, 4б",POINT (55.537521 37.573545),thermal
"[55.773297, 37.572058]","котельная мэмз памяти революции 1905 г. пресненский вал улица, 27к10",POINT (55.773297 37.572058),boiler
"[55.616338, 37.651764]","котельная гкб им. в.м. буянова бакинская улица, 26с3",POINT (55.616338 37.651764),boiler
"[55.717665, 37.861457]",малая котельнаязагрязнение воздуха для ближайших домоворанжерейная 8с1,POINT (55.717665 37.861457),boiler
"[55.860912, 37.576923]","мусоросжигательный завод № 2 гуп «экотехпром»на консервации с 2015 г.алтуфьевское шоссе, 33а",POINT (55.860912 37.576923),waste
"[55.599745, 37.635901]","мусоросжигательный завод № 3 гуп «экотехпром»подольских курсантов ул., 22а",POINT (55.599745 37.635901),waste
"[55.719628, 37.934234]","мусоросжигательный завод № 4 гуп «экотехпром»пехорская ул., 1а",POINT (55.719628 37.934234),waste
"[56.161944, 37.106111]","мусоросжигательный завод (в перспективе)хметьево, солнечногорский район",POINT (56.161944 37.106111),waste
"[55.345278, 36.856111]","мусоросжигательный завод (в перспективе)могутово, наро-фоминский городской округ",POINT (55.345278 36.856111),waste
"[55.755833, 38.301667]","мусоросжигательный завод (в перспективе)тимохово, богородский (ногинский) городской округ",POINT (55.755833 38.301667),waste
"[55.248279, 38.480119]","мусоросжигательный завод (в перспективе)свистягино, воскресенский район",POINT (55.248279 38.480119),waste
"[55.5767, 37.6361]",тэц-26 южнаямосэнергобирюлево западное,POINT (55.5767 37.6361),thermal
"[55.893056, 37.507778]","тэц-21мосэнергопромзона «коровино», дмитровский район",POINT (55.893056 37.507778),thermal
"[55.8204, 37.7751]",тэц-23мосэнергометрогородок,POINT (55.8204 37.7751),thermal
"[55.69493, 37.44782]",тэц-25мосэнергоочаково-матвеевское,POINT (55.69493 37.44782),thermal
"[55.69974, 37.5877]",тэц-20мосэнергоакадемический район,POINT (55.69974 37.5877),thermal
"[55.78271, 37.50393]",тэц-16мосэнергохорошево-мневники,POINT (55.78271 37.50393),thermal
"[55.73554, 37.56224]",тэц-12мосэнергодорогомилово,POINT (55.73554 37.56224),thermal
"[55.7236, 37.7]",тэц-8мосэнергонижегородский район,POINT (55.7236 37.7),thermal
"[55.75243, 37.732]",тэц-11мосэнергошоссе энтузиастов,POINT (55.75243 37.732),thermal
"[55.70466, 37.65171]",тэц-9мосэнергоданиловский район,POINT (55.70466 37.65171),thermal
"[55.76, 37.528333]",тэс международная и ртс красная пресняоао «тпе-сити»пресненский район,POINT (55.76 37.528333),thermal
"[55.659444, 37.401944]",гтэс «терёшково»ооо «росмикс»район солнцево,POINT (55.659444 37.401944),thermal
"[55.722222, 37.871389]",гтэс «кожухово» (строится)ооо «росмикс»район косино-ухтомский,POINT (55.722222 37.871389),thermal
"[55.648333, 37.641111]","гтэс втк-инвест и ртс «коломенская» (моэк)промзона «котляково», москворечье-сабурово",POINT (55.648333 37.641111),thermal
"[55.791389, 37.384722]",пгу-тэс «строгино» и ртс «строгино»моэкстрогино,POINT (55.791389 37.384722),factory
"[55.611389, 37.265278]",гтэс и ртс внукововнуково,POINT (55.611389 37.265278),thermal
"[55.74743, 37.63255]",гэс-1 (государственная электрическая станция № 1)мосэнерго,POINT (55.74743 37.63255),factory
"[55.518568, 37.579966]",гтэс щербинка(строится)предполагаемое окончание строительства — 2020 г.южное бутово,POINT (55.518568 37.579966),thermal
"[54.85771, 38.26143]",каширская грэсинтер раокашира,POINT (54.85771 38.26143),thermal
"[55.58299, 39.56282]",шатурская грэсюнипрошатура,POINT (55.58299 39.56282),thermal
"[55.6335, 37.8207]",тэц-22мосэнергодзержинский,POINT (55.6335 37.8207),thermal
"[55.91591, 37.68958]",тэц-27мосэнергомытищи,POINT (55.91591 37.68958),thermal
"[55.88666, 38.78517]",грэс-3мосэнергоэлектрогорск,POINT (55.88666 38.78517),thermal
"[54.90243, 38.05671]",тэц-17мосэнергоступино,POINT (54.90243 38.05671),thermal
"[55.808, 38.993]","тэц-6входит в состав грэс-3, мосэнергоорехово-зуево",POINT (55.808 38.993),thermal
"[55.775833, 38.659167]","тэц-30входит в состав грэс-3, мосэнергопавловский посад",POINT (55.775833 38.659167),thermal
