coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.746204', '37.636436')",0.0,8,23,357,582,1737,2240
"('55.744363', '37.63888')",0.0,12,21,354,568,1732,2234
"('55.749405', '37.66141')",0.0,6,14,276,517,1695,2108
"('55.772689', '37.613216')",0.0,8,57,371,555,1719,2310
"('55.736736', '37.674667')",0.0,17,40,204,409,1733,1978
"('55.723252', '37.563521')",0.0,7,23,179,571,1953,1806
"('55.790084', '37.582709')",0.0,6,30,300,538,1776,2024
"('55.738399', '37.629691')",0.0,16,42,326,582,1767,2197
"('55.768785', '37.629601')",0.0,18,36,358,574,1695,2313
"('55.74467', '37.62874')",0.0,12,24,388,573,1784,2216
"('55.744885', '37.624876')",0.0,7,24,399,572,1801,2210
"('55.677829', '37.682449')",0.0,10,16,83,225,1358,1824
"('55.681286', '37.669666')",0.0,11,14,96,233,1485,1815
"('55.688553', '37.687542')",0.0,7,12,97,247,1469,1904
"('55.680557', '37.6714')",0.0,13,12,91,238,1458,1823
"('55.6826878', '37.6433842')",0.0,7,9,130,280,1683,1734
"('55.689451', '37.686707')",0.0,7,10,99,238,1485,1901
"('55.680453', '37.674409')",0.0,13,14,84,237,1428,1842
"('55.6794626', '37.6953989')",0.0,6,17,77,245,1283,1881
"('55.679255', '37.678146')",0.0,10,18,82,228,1399,1837
"('55.688862', '37.684416')",0.0,6,8,104,224,1503,1884
"('55.679726', '37.70533')",0.0,2,11,78,252,1208,1866
"('55.678703', '37.668076')",0.0,11,11,92,236,1477,1770
"('55.676971', '37.671301')",0.0,11,11,85,239,1428,1774
"('55.6795242', '37.6675107')",0.0,11,12,93,238,1487,1781
"('55.685686', '37.674651')",0.0,5,19,99,232,1497,1887
"('55.684396', '37.695519')",0.0,8,17,83,258,1345,1909
"('55.679661', '37.68659')",0.0,8,21,79,241,1334,1874
"('55.687634', '37.692104')",0.0,6,13,92,249,1436,1897
"('55.6864418', '37.6999755')",0.0,6,9,91,260,1354,1897
"('55.6857222', '37.6997289')",0.0,7,9,91,259,1341,1906
"('55.677671', '37.666225')",0.0,10,10,91,241,1473,1751
"('55.6745081', '37.6905715')",0.0,6,9,89,215,1260,1810
"('55.717741', '37.675217')",0.0,6,20,158,386,1695,1980
"('55.71378', '37.677122')",0.0,7,8,154,383,1691,1947
"('55.736235', '37.671849')",0.0,17,31,225,405,1741,1996
"('55.737568', '37.631748')",0.0,19,34,321,574,1761,2203
"('55.599626', '37.160105')",0.0,1,0,12,1,42,112
"('55.680057', '37.672936')",0.0,13,14,85,240,1441,1829
"('55.68172', '37.681057')",0.0,9,25,83,236,1397,1885
"('55.676994', '37.69323')",0.0,6,14,83,238,1255,1854
"('55.667736', '37.652445')",0.0,3,3,87,272,1379,1765
"('55.68794', '37.687218')",0.0,7,13,95,249,1468,1898
"('55.680194', '37.639312')",0.0,8,6,136,282,1658,1736
"('55.677539', '37.634398')",0.0,6,6,141,293,1630,1758
"('55.682935', '37.64542')",0.0,7,11,123,279,1668,1740
"('55.709028', '37.620761')",0.0,8,19,181,454,1881,1995
"('55.669249', '37.568192')",0.0,15,22,222,277,1442,2025
"('55.590282', '37.445725')",0.0,5,6,38,69,619,827
"('55.49221', '37.31481')",0.0,3,5,16,17,45,239
"('55.575169', '37.476734')",0.0,9,16,50,90,493,833
"('55.519519', '37.39603')",0.0,4,0,12,18,227,308
"('55.591915', '37.457537')",0.0,7,6,36,77,649,833
"('55.4860975', '37.2977397')",0.0,1,2,17,13,49,149
"('55.497184', '37.320293')",0.0,4,4,21,12,55,244
"('55.574548', '37.487424')",0.0,6,16,52,106,481,868
"('55.488376', '37.332573')",0.0,3,0,22,11,58,207
"('55.5539909', '37.4633573')",0.0,5,0,79,53,368,699
"('55.518041', '37.343802')",0.0,3,4,17,33,86,355
"('55.531992', '37.384691')",0.0,2,1,11,33,210,401
"('55.567214', '37.480265')",0.0,9,14,64,81,438,826
"('55.574839', '37.477085')",0.0,9,18,49,92,487,837
"('55.592637', '37.461122')",0.0,5,5,35,85,650,842
"('55.533435', '37.376411')",0.0,2,1,16,25,212,388
"('55.591599', '37.42916')",0.0,6,1,30,74,566,844
"('55.517549', '37.3960797')",0.0,4,0,13,17,224,297
"('55.5163525', '37.3473271')",0.0,3,7,18,30,96,342
"('55.5781857', '37.4777913')",0.0,10,4,53,93,522,829
"('55.570624', '37.4872')",0.0,11,15,53,107,432,889
"('55.567214', '37.479385')",0.0,8,16,62,83,435,826
"('55.591793', '37.454861')",0.0,8,5,38,73,646,832
"('55.566155', '37.478333')",0.0,6,13,67,77,435,810
"('55.5110627', '37.3503601')",0.0,3,6,20,28,79,331
"('55.5179916', '37.3940623')",0.0,4,0,14,19,221,298
"('55.555031', '37.46732')",0.0,5,0,81,54,376,717
"('55.502523', '37.322521')",0.0,2,4,23,14,56,264
"('55.577566', '37.48269')",0.0,9,9,53,93,516,842
"('55.569571', '37.491575')",0.0,9,14,55,115,418,898
"('55.497154', '37.320014')",0.0,4,4,21,12,55,244
"('55.59078', '37.427435')",0.0,6,0,30,72,554,848
"('55.496786', '37.320122')",0.0,4,5,20,13,53,246
"('55.470207', '37.296093')",0.0,2,3,7,14,44,76
"('55.5766086', '37.481569')",0.0,9,12,51,95,504,843
"('55.5776617', '37.478889')",0.0,9,6,52,95,511,837
"('55.591498', '37.447295')",0.0,6,7,38,74,632,829
"('55.519152', '37.392499')",0.0,4,0,14,19,223,301
"('55.47647', '37.296207')",0.0,1,2,15,10,48,110
"('55.496639', '37.319206')",0.0,4,5,20,13,53,244
"('55.509441', '37.338277')",0.0,4,3,22,29,54,323
"('55.573973', '37.488943')",0.0,5,17,49,114,467,881
"('55.5792254', '37.4810338')",0.0,6,7,51,96,534,838
"('55.490616', '37.334765')",0.0,3,0,23,13,57,223
"('55.5191118', '37.3494791')",0.0,5,2,20,30,109,353
"('55.583085', '37.4643469')",0.0,2,5,50,82,563,819
"('55.56533', '37.47888')",0.0,6,12,67,77,430,808
"('55.5782812', '37.4827046')",0.0,6,9,52,96,520,847
"('55.7684938', '37.6540297')",0.0,10,29,242,603,1577,2243
"('55.782152', '37.662973')",0.0,9,14,214,482,1646,1952
"('55.776877', '37.659371')",0.0,3,22,227,548,1593,2097
"('55.782947', '37.659182')",0.0,8,11,225,499,1651,1965
"('55.771317', '37.655346')",0.0,5,20,239,595,1571,2217
"('55.777616', '37.66097')",0.0,4,21,227,531,1608,2064
"('55.784288', '37.657476')",0.0,7,12,226,494,1669,1943
"('55.78115', '37.667087')",0.0,6,21,204,480,1622,1959
"('55.7817272', '37.6659454')",0.0,9,18,209,472,1640,1940
"('55.772175', '37.659874')",0.0,3,25,232,566,1591,2144
"('55.646426', '37.494836')",0.0,9,14,166,212,1006,1559
"('55.625491', '37.504834')",0.0,4,11,103,132,995,1246
"('55.651186', '37.483095')",0.0,5,24,140,239,1004,1576
"('55.628241', '37.506487')",0.0,7,7,115,141,997,1300
"('55.647854', '37.495779')",0.0,7,17,169,208,1039,1581
"('55.630146', '37.507924')",0.0,7,9,116,167,979,1367
"('55.628495', '37.504762')",0.0,6,7,113,145,988,1307
"('55.644694', '37.493973')",0.0,8,13,160,199,1000,1522
"('55.649251', '37.484406')",0.0,8,21,140,226,1001,1543
"('55.84368', '37.547306')",0.0,7,4,113,319,1338,1510
"('55.840629', '37.529852')",0.0,3,10,135,318,1328,1520
"('55.837899', '37.537497')",0.0,2,11,127,328,1401,1522
"('55.8539585', '37.5058702')",0.0,7,16,146,227,1074,1372
"('55.831833', '37.530535')",0.0,4,10,134,338,1452,1554
"('55.831875', '37.500443')",0.0,7,13,136,320,1257,1579
"('55.84678', '37.496964')",0.0,4,23,132,277,1045,1515
"('55.8343579', '37.5301737')",0.0,4,9,130,331,1422,1549
"('55.841534', '37.542957')",0.0,6,6,125,328,1349,1526
"('55.841623', '37.489701')",0.0,15,18,139,270,1078,1524
"('55.744237', '37.407591')",0.0,8,23,94,143,864,1851
"('55.799472', '37.488835')",0.0,8,9,223,273,1652,1582
"('55.849796', '37.523087')",0.0,4,3,162,248,1211,1397
"('55.813587', '37.46061')",0.0,5,14,99,341,1122,1628
"('55.787958', '37.461337')",0.0,11,26,128,291,1464,1629
"('55.699781', '37.847487')",0.0,5,3,58,110,453,1067
"('55.71255', '37.864517')",0.0,1,2,59,110,407,991
"('55.700557', '37.851799')",0.0,4,4,60,106,433,1051
"('55.70056', '37.84617')",0.0,6,1,63,107,461,1082
"('55.704747', '37.860495')",0.0,1,4,56,115,398,1024
"('55.697351', '37.845044')",0.0,5,2,54,113,458,1073
"('55.584416', '37.12755')",0.0,1,0,11,4,21,90
"('55.580345', '37.157851')",0.0,2,2,9,8,23,149
"('55.5077268', '37.2658543')",0.0,1,0,1,24,42,167
"('55.2156978', '37.0674242')",0.0,1,0,1,0,2,0
"('55.770775', '37.376626')",0.0,2,0,30,83,710,1459
"('55.7597798', '37.5166008')",0.0,16,22,228,520,1756,1930
"('55.619668', '37.761895')",0.0,2,6,81,111,414,1053
"('55.61693', '37.755751')",0.0,6,16,78,104,424,1039
"('55.6062176', '37.7327241')",0.0,8,13,81,100,460,972
"('55.609273', '37.759632')",0.0,5,7,79,72,380,887
"('55.60844', '37.756622')",0.0,5,10,77,74,384,893
"('55.617775', '37.754177')",0.0,6,16,84,102,440,1058
"('55.613336', '37.701008')",0.0,2,10,94,138,555,1224
"('55.610645', '37.75535')",0.0,7,14,81,82,397,929
"('55.616051', '37.753901')",0.0,9,16,87,92,438,1022
"('55.610157', '37.74793')",0.0,7,20,80,82,430,949
"('55.622243', '37.733635')",0.0,9,14,121,103,553,1150
"('55.610112', '37.742456')",0.0,3,25,77,97,450,969
"('55.615578', '37.722756')",0.0,4,12,93,125,497,1158
"('55.618689', '37.745034')",0.0,12,19,95,98,513,1052
"('55.607941', '37.752374')",0.0,7,11,83,66,417,869
"('55.597475', '37.720753')",0.0,9,10,68,95,459,925
"('55.614582', '37.746517')",0.0,11,16,93,86,472,1019
"('55.604727', '37.715803')",0.0,7,22,69,138,466,1082
"('55.610901', '37.71274')",0.0,6,16,80,145,488,1172
"('55.765463', '37.559847')",0.0,15,42,401,529,1875,2015
"('55.757288', '37.55681')",0.0,11,33,389,501,1979,1896
"('55.7656358', '37.5670872')",0.0,28,31,432,521,1855,2071
"('55.767722', '37.565964')",0.0,28,23,434,515,1858,2061
"('55.76154', '37.554214')",0.0,14,30,398,508,1927,1946
"('55.7673304', '37.5727194')",0.0,23,50,420,550,1823,2134
"('55.766329', '37.557861')",0.0,9,42,387,549,1854,2027
"('55.753311', '37.580661')",0.0,11,48,415,557,1873,2130
"('55.76018', '37.554897')",0.0,15,29,400,501,1937,1936
"('55.76246', '37.567554')",0.0,21,38,420,528,1888,2047
"('55.758316', '37.557843')",0.0,10,36,393,511,1959,1930
"('55.7602553', '37.5648602')",0.0,13,37,417,505,1939,1988
"('55.761381', '37.570186')",0.0,15,38,430,528,1875,2084
"('55.763984', '37.567482')",0.0,26,37,422,531,1868,2071
"('55.789922', '37.677885')",0.0,10,12,159,406,1627,1768
"('55.7812', '37.670967')",0.0,5,25,192,465,1621,1927
"('55.7889', '37.669369')",0.0,6,21,175,427,1667,1811
"('55.785286', '37.67969')",0.0,6,19,156,420,1625,1822
"('55.791206', '37.6723')",0.0,6,15,172,405,1656,1767
"('55.791106', '37.681083')",0.0,8,16,153,391,1614,1734
"('55.791098', '37.675892')",0.0,10,11,170,395,1637,1760
"('55.783266', '37.675738')",0.0,5,26,168,450,1622,1876
"('55.79289', '37.682873')",0.0,9,14,152,385,1598,1717
"('55.78774', '37.673096')",0.0,8,16,166,423,1639,1830
"('55.78', '37.69993')",0.0,6,21,163,342,1590,1716
"('55.764425', '37.65214')",0.0,21,26,271,580,1632,2209
"('55.759881', '37.642159')",0.0,15,36,309,608,1639,2312
"('55.763355', '37.646793')",0.0,19,37,279,606,1625,2276
"('55.766511', '37.648295')",0.0,17,33,269,600,1603,2283
"('55.764764', '37.65116')",0.0,18,30,266,592,1620,2230
"('55.7651089', '37.6555295')",0.0,17,25,257,571,1616,2193
"('55.761923', '37.649633')",0.0,22,34,275,598,1634,2241
"('55.762505', '37.649651')",0.0,25,30,275,595,1636,2234
"('55.765949', '37.654224')",0.0,15,27,253,587,1601,2225
"('55.764101', '37.66044')",0.0,11,29,250,553,1632,2142
"('55.761558', '37.647298')",0.0,21,40,278,605,1635,2265
"('55.81244', '37.532196')",0.0,12,14,192,343,1688,1598
"('55.8098133', '37.5337395')",0.0,13,19,197,355,1714,1603
"('55.803833', '37.526123')",0.0,10,38,211,415,1698,1688
"('55.799932', '37.491907')",0.0,6,18,221,295,1646,1610
"('55.795226', '37.515263')",0.0,11,24,229,411,1738,1720
"('55.808674', '37.531666')",0.0,15,17,207,360,1709,1615
"('55.805817', '37.5289')",0.0,15,30,213,385,1709,1653
"('55.805002', '37.526618')",0.0,9,36,206,406,1689,1681
"('55.81152', '37.52616')",0.0,6,24,179,370,1639,1642
"('55.808178', '37.5327')",0.0,17,14,214,356,1728,1610
"('55.588649', '37.604448')",0.0,14,8,74,114,686,972
"('55.603303', '37.622073')",0.0,5,3,96,121,806,1092
"('55.59546', '37.615542')",0.0,1,14,73,126,729,1011
"('55.60078', '37.606136')",0.0,4,14,65,159,790,1072
"('55.59224', '37.598447')",0.0,13,13,61,133,726,1002
"('55.599423', '37.605167')",0.0,6,11,66,155,783,1061
"('55.590267', '37.595869')",0.0,11,12,68,123,704,1000
"('55.601549', '37.620896')",0.0,5,5,89,128,774,1082
"('55.598039', '37.586733')",0.0,8,9,72,127,802,1033
"('55.599138', '37.584137')",0.0,8,5,80,118,820,1030
"('55.59137', '37.652634')",0.0,8,6,57,118,538,1026
"('55.740289', '37.658796')",0.0,8,29,272,495,1731,2088
"('55.735824', '37.653469')",0.0,10,22,266,495,1753,2112
"('55.718557', '37.647908')",0.0,5,18,262,362,1889,1972
"('55.739073', '37.669091')",0.0,20,22,244,436,1733,2019
"('55.711767', '37.643345')",0.0,8,12,220,380,1874,1953
"('55.738176', '37.653173')",0.0,10,23,274,522,1733,2140
"('55.733827', '37.653604')",0.0,10,16,275,461,1789,2074
"('55.73581', '37.65939')",0.0,9,29,257,465,1758,2067
"('55.7116', '37.640327')",0.0,8,10,227,377,1885,1967
"('55.721264', '37.653873')",0.0,7,10,268,347,1889,1953
"('55.737248', '37.675172')",0.0,17,35,210,400,1741,1960
"('55.710332', '37.643129')",0.0,8,10,210,377,1863,1960
"('55.731262', '37.666036')",0.0,11,40,222,412,1755,2040
"('55.727384', '37.652382')",0.0,1,23,269,417,1843,2018
"('55.73644', '37.673546')",0.0,17,34,216,398,1747,1969
"('55.73348', '37.660126')",0.0,8,34,250,455,1741,2080
"('55.73889', '37.66663')",0.0,16,31,243,460,1724,2044
"('55.740304', '37.662264')",0.0,10,33,261,482,1722,2072
"('55.7226109', '37.6458793')",0.0,5,18,270,407,1883,2012
"('55.749588', '37.589745')",0.0,29,52,416,551,1930,2105
"('55.7415784', '37.5864977')",0.0,21,40,366,532,1990,1980
"('55.74224', '37.585035')",0.0,19,38,376,533,1992,1968
"('55.736458', '37.599678')",0.0,9,33,344,583,1933,2042
"('55.7385165', '37.588639')",0.0,18,38,342,550,1980,1976
"('55.739554', '37.597414')",0.0,22,30,368,561,1951,2046
"('55.760414', '37.40652')",0.0,8,15,57,182,890,1777
"('55.745083', '37.40912')",0.0,8,24,90,155,861,1873
"('55.747566', '37.407645')",0.0,7,18,79,168,834,1886
"('55.757009', '37.411472')",0.0,11,14,67,207,890,1865
"('55.763209', '37.410583')",0.0,11,16,49,201,924,1778
"('55.754289', '37.409352')",0.0,8,18,68,197,853,1877
"('55.765789', '37.4098294')",0.0,10,8,51,184,952,1730
"('55.765635', '37.405471')",0.0,6,10,43,172,912,1705
"('55.755642', '37.40946')",0.0,7,18,65,204,863,1876
"('55.761796', '37.410026')",0.0,9,16,54,206,905,1809
"('55.770056', '37.410879')",0.0,5,7,44,182,975,1706
"('55.750368', '37.413601')",0.0,5,20,72,206,872,1909
"('55.745787', '37.426303')",0.0,4,15,114,208,1035,1882
"('55.743573', '37.396515')",0.0,5,8,93,111,813,1772
"('55.727116', '37.457745')",0.0,6,30,159,292,1432,1765
"('55.7355823', '37.4076525')",0.0,10,20,128,113,922,1768
"('55.7225556', '37.4288862')",0.0,15,19,159,172,1111,1793
"('55.801197', '37.3978')",0.0,4,15,31,129,847,1301
"('55.71104', '37.39654')",0.0,9,13,71,141,806,1580
"('55.731693', '37.45389')",0.0,6,20,167,302,1379,1813
"('55.736615', '37.466009')",0.0,6,17,130,390,1475,1832
"('55.756336', '37.406908')",0.0,8,17,64,186,849,1852
"('55.740223', '37.475109')",0.0,6,14,129,413,1551,1817
"('55.772416', '37.473024')",0.0,20,18,146,326,1507,1819
"('55.809925', '37.412487')",0.0,4,17,50,176,843,1426
"('55.736855', '37.408714')",0.0,13,18,126,116,926,1777
"('55.755325', '37.40681')",0.0,7,18,65,192,839,1861
"('55.732986', '37.425405')",0.0,5,20,159,136,1121,1766
"('55.760545', '37.410969')",0.0,8,15,57,208,907,1834
"('55.743512', '37.422099')",0.0,7,19,117,182,1014,1855
"('55.7417592', '37.4025916')",0.0,6,21,98,121,855,1806
"('55.760302', '37.419197')",0.0,6,14,63,236,953,1872
"('55.7874823', '37.3596301')",0.0,1,0,12,58,600,1114
"('55.755003', '37.405435')",0.0,8,16,67,176,829,1847
"('55.769955', '37.41777')",0.0,3,6,54,194,1032,1718
"('55.741323', '37.417733')",0.0,14,19,120,164,973,1858
"('55.770897', '37.37809')",0.0,2,0,32,82,717,1474
"('55.746122', '37.405094')",0.0,6,19,80,149,827,1861
"('55.7602', '37.416477')",0.0,10,13,62,227,932,1865
"('55.7505', '37.405155')",0.0,5,19,72,167,821,1854
"('55.741946', '37.411912')",0.0,10,26,105,148,918,1851
"('55.744308', '37.419521')",0.0,8,21,107,185,979,1869
"('55.767616', '37.41175')",0.0,7,9,45,187,962,1733
"('55.75896', '37.419476')",0.0,5,15,63,244,937,1901
"('55.756786', '37.418362')",0.0,6,16,66,237,917,1919
"('55.739544', '37.415047')",0.0,15,22,122,138,969,1840
"('55.7414918', '37.4195197')",0.0,14,16,128,166,998,1845
"('55.743461', '37.395563')",0.0,5,7,93,109,804,1773
"('55.74388', '37.413673')",0.0,9,26,102,165,919,1870
"('55.678118', '37.603514')",0.0,8,15,167,323,1651,1923
"('55.686985', '37.589733')",0.0,10,23,169,354,1760,1922
"('55.678074', '37.59825')",0.0,12,17,166,315,1646,1935
"('55.7040368', '37.6132897')",0.0,6,16,175,439,1861,1957
"('55.682108', '37.594135')",0.0,12,24,163,352,1699,1948
"('55.7038995', '37.6133851')",0.0,6,16,174,442,1857,1960
"('55.6897837', '37.5926883')",0.0,9,22,174,352,1797,1900
"('55.676189', '37.599453')",0.0,13,14,172,306,1609,1938
"('55.675666', '37.592797')",0.0,10,25,180,308,1579,1968
"('55.680889', '37.595932')",0.0,11,25,165,340,1689,1938
"('55.68331', '37.588593')",0.0,14,23,179,338,1709,1952
"('55.678138', '37.594953')",0.0,12,23,169,316,1642,1949
"('55.6852941', '37.5919965')",0.0,13,21,173,340,1757,1917
"('55.681407', '37.584137')",0.0,11,26,188,336,1666,1964
"('55.679925', '37.598573')",0.0,13,19,170,332,1678,1932
"('55.765113', '37.615237')",0.0,19,46,434,518,1800,2302
"('55.768861', '37.616333')",0.0,17,50,396,538,1755,2302
"('55.761674', '37.651035')",0.0,26,26,278,581,1640,2220
"('55.766491', '37.622333')",0.0,18,35,399,544,1756,2307
"('55.737542', '37.641135')",0.0,10,36,280,575,1719,2232
"('55.76002', '37.64115')",0.0,15,37,320,600,1646,2315
"('55.716281', '37.769458')",0.0,3,13,140,173,1058,1584
"('55.706293', '37.771544')",0.0,9,22,123,178,969,1613
"('55.7016731', '37.810541')",0.0,7,12,85,164,648,1374
"('55.713025', '37.751367')",0.0,8,12,128,202,1119,1702
"('55.70913', '37.789375')",0.0,11,15,115,193,815,1555
"('55.707339', '37.785656')",0.0,10,20,112,198,826,1578
"('55.708694', '37.791378')",0.0,11,12,115,194,794,1554
"('55.721779', '37.73757')",0.0,9,25,108,277,1309,1699
"('55.712558', '37.741172')",0.0,3,17,110,245,1204,1730
"('55.697549', '37.753901')",0.0,3,16,122,206,1007,1732
"('55.711022', '37.774825')",0.0,5,22,126,181,962,1603
"('55.71302', '37.77447')",0.0,7,12,142,165,996,1579
"('55.710236', '37.78581')",0.0,11,17,115,193,853,1565
"('55.707554', '37.791225')",0.0,12,11,113,196,786,1559
"('55.700836', '37.791954')",0.0,6,14,104,199,738,1546
"('55.7013325', '37.8085481')",0.0,6,7,93,163,661,1389
"('55.703048', '37.752652')",0.0,7,15,137,195,1044,1739
"('55.719551', '37.733796')",0.0,12,16,115,274,1347,1714
"('55.7155', '37.734074')",0.0,9,11,113,271,1302,1748
"('55.682864', '37.854225')",0.0,5,7,18,91,460,798
"('55.7131028', '37.9460569')",0.0,3,3,36,25,175,472
"('55.69585', '37.745377')",0.0,6,7,121,217,1058,1793
"('55.759068', '37.804413')",0.0,6,6,71,162,822,1360
"('55.720626', '37.736393')",0.0,8,27,108,281,1316,1710
"('55.713826', '37.750712')",0.0,8,8,136,196,1140,1688
"('55.716671', '37.751071')",0.0,8,6,137,199,1160,1670
"('55.704727', '37.745304')",0.0,5,16,129,217,1093,1786
"('55.709703', '37.773442')",0.0,7,23,122,180,968,1608
"('55.727455', '37.45036')",0.0,7,23,173,258,1347,1795
"('55.718816', '37.426186')",0.0,14,19,148,180,1049,1777
"('55.7003333', '37.3947427')",0.0,1,3,45,150,739,1515
"('55.7226001', '37.4354938')",0.0,10,25,169,185,1167,1799
"('55.7100596', '37.3993136')",0.0,11,10,73,153,808,1610
"('55.716174', '37.441413')",0.0,11,19,176,210,1194,1788
"('55.712832', '37.398123')",0.0,9,16,76,143,809,1624
"('55.7234715', '37.433165')",0.0,13,21,170,174,1149,1796
"('55.718032', '37.496631')",0.0,5,17,205,289,1807,1544
"('55.72001', '37.442623')",0.0,8,29,167,221,1208,1814
"('55.718147', '37.424749')",0.0,13,20,142,177,1035,1762
"('55.73111', '37.452678')",0.0,6,18,170,287,1372,1808
"('55.720489', '37.450987')",0.0,14,17,173,240,1313,1761
"('55.734207', '37.454465')",0.0,8,14,166,317,1387,1821
"('55.717281', '37.414025')",0.0,7,23,116,166,921,1736
"('55.72124', '37.426556')",0.0,14,21,149,174,1068,1788
"('55.728124', '37.452067')",0.0,7,24,171,267,1372,1788
"('55.73701', '37.435178')",0.0,5,10,169,178,1221,1794
"('55.729554', '37.43446')",0.0,3,20,161,180,1178,1801
"('55.726244', '37.467536')",0.0,10,24,171,300,1564,1689
"('55.723967', '37.437173')",0.0,7,28,165,190,1179,1814
"('55.7211809', '37.4297068')",0.0,16,23,159,177,1107,1791
"('55.725555', '37.463825')",0.0,8,30,159,291,1525,1701
"('55.724271', '37.44691')",0.0,9,23,172,232,1290,1782
"('55.724754', '37.434647')",0.0,9,23,168,176,1167,1795
"('55.724007', '37.45476')",0.0,14,18,173,263,1394,1768
"('55.721949', '37.426977')",0.0,13,22,151,174,1076,1788
"('55.722588', '37.452103')",0.0,10,20,167,256,1339,1775
"('55.724165', '37.47624')",0.0,6,18,193,274,1674,1612
"('55.7140074', '37.4342459')",0.0,8,20,160,204,1095,1778
"('55.735657', '37.432537')",0.0,5,14,166,167,1181,1789
"('55.7207169', '37.4588989')",0.0,13,18,182,250,1444,1722
"('55.7068658', '37.3981247')",0.0,6,11,60,157,799,1573
"('55.728576', '37.434325')",0.0,4,19,165,177,1181,1791
"('55.719318', '37.445779')",0.0,9,26,170,224,1243,1785
"('55.7181046', '37.3990861')",0.0,6,21,90,138,815,1670
"('55.722421', '37.425468')",0.0,12,23,149,170,1064,1783
"('55.7573', '37.65146')",0.0,16,38,279,583,1645,2215
"('55.759755', '37.655023')",0.0,14,37,274,571,1640,2194
"('55.7642819', '37.6599564')",0.0,12,27,253,549,1636,2143
"('55.752911', '37.655688')",0.0,6,26,275,570,1660,2188
"('55.761305', '37.65629')",0.0,18,29,270,560,1644,2167
"('55.7533075', '37.6688339')",0.0,4,15,263,494,1688,2057
"('55.755353', '37.668615')",0.0,3,15,263,499,1686,2076
"('55.7642852', '37.659961')",0.0,12,27,253,550,1635,2144
"('55.751903', '37.664069')",0.0,5,13,275,516,1687,2094
"('55.763032', '37.657808')",0.0,17,28,260,556,1638,2156
"('55.759957', '37.656901')",0.0,12,37,267,569,1640,2175
"('55.644882', '37.702679')",0.0,4,7,70,241,807,1611
"('55.650866', '37.71512')",0.0,8,12,72,241,850,1582
"('55.645121', '37.718911')",0.0,12,10,98,220,774,1485
"('55.644196', '37.722794')",0.0,9,13,104,209,753,1433
"('55.646015', '37.722999')",0.0,11,12,101,212,770,1457
"('55.645866', '37.716206')",0.0,11,13,81,240,782,1517
"('55.64761', '37.720223')",0.0,11,13,88,230,782,1518
"('55.7567884', '37.780454')",0.0,7,7,60,241,953,1529
"('55.74833', '37.797054')",0.0,8,17,74,187,909,1386
"('55.75141', '37.78573')",0.0,3,15,62,234,929,1513
"('55.75918', '37.796986')",0.0,8,6,67,182,847,1446
"('55.744476', '37.79976')",0.0,10,7,102,150,941,1326
"('55.74419', '37.803318')",0.0,8,10,97,150,912,1310
"('55.739878', '37.778847')",0.0,2,3,110,203,1069,1464
"('55.760727', '37.776592')",0.0,6,4,62,235,976,1547
"('55.740973', '37.78253')",0.0,2,4,101,202,1041,1447
"('55.763126', '37.78561')",0.0,1,12,57,223,877,1542
"('55.748113', '37.796445')",0.0,8,16,78,182,917,1385
"('55.77836', '37.83774')",0.0,4,5,43,150,560,1079
"('55.758114', '37.776008')",0.0,7,5,61,247,977,1547
"('55.7438104', '37.8026969')",0.0,8,10,100,149,917,1312
"('55.757885', '37.787785')",0.0,4,16,52,223,876,1525
"('55.748138', '37.785108')",0.0,3,8,82,215,976,1484
"('55.7471445', '37.8269653')",0.0,4,13,71,115,757,1132
"('55.756356', '37.777931')",0.0,7,5,60,252,965,1548
"('55.746845', '37.826855')",0.0,4,13,72,111,763,1129
"('55.75748', '37.77315')",0.0,7,2,66,250,1016,1548
"('55.746292', '37.79104')",0.0,7,10,87,188,956,1430
"('55.74352', '37.799213')",0.0,8,8,99,159,938,1338
"('55.7584029', '37.795835')",0.0,7,9,66,190,848,1457
"('55.75805', '37.791206')",0.0,5,17,56,219,861,1508
"('55.75017', '37.794758')",0.0,7,19,65,205,889,1439
"('55.740993', '37.823314')",0.0,6,10,86,127,771,1174
"('55.74661', '37.796616')",0.0,13,9,93,160,943,1356
"('55.762642', '37.836447')",0.0,1,6,57,113,646,1083
"('55.7406452', '37.5232682')",0.0,8,19,198,485,1881,1773
"('55.741399', '37.522099')",0.0,5,22,189,496,1860,1795
"('55.730786', '37.467949')",0.0,12,22,154,361,1538,1738
"('55.735434', '37.4726454')",0.0,8,20,131,396,1539,1801
"('55.737684', '37.521156')",0.0,15,4,208,437,1924,1712
"('55.735809', '37.525028')",0.0,13,13,203,455,1934,1704
"('55.735941', '37.527444')",0.0,11,16,204,464,1942,1704
"('55.741475', '37.535826')",0.0,8,28,215,528,1936,1763
"('55.740446', '37.52492')",0.0,7,18,204,484,1899,1759
"('55.7375835', '37.5163839')",0.0,8,14,193,423,1898,1709
"('55.737507', '37.518371')",0.0,11,11,200,426,1908,1713
"('55.73296', '37.538125')",0.0,3,18,204,499,1971,1697
"('55.736549', '37.526151')",0.0,14,11,205,462,1936,1712
"('55.736508', '37.522054')",0.0,15,5,204,438,1933,1692
"('55.735596', '37.519539')",0.0,13,11,194,422,1937,1671
