coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.700444', '37.51071')",0.0,11,14,181,379,1662,1724
"('55.807983', '37.450844')",0.0,8,5,110,278,1158,1573
"('55.754983', '37.647675')",0.0,12,29,301,584,1655,2252
"('55.743923', '37.582655')",0.0,17,48,380,548,1968,1994
"('55.809348', '37.450872')",0.0,8,6,104,290,1134,1584
"('55.651811', '37.395635')",0.0,5,17,59,97,729,969
"('55.729807', '37.62978')",0.0,15,34,274,526,1822,2136
"('55.669889', '37.556262')",0.0,6,30,239,279,1427,2021
"('55.817837', '37.464825')",0.0,6,5,110,345,1112,1623
"('55.642133', '37.601385')",0.0,13,21,95,257,1091,1821
"('55.77517', '37.674022')",0.0,12,20,217,443,1650,1950
